congress,chamber,rollnumber,icpsr,cast_code,prob
114,House,426,20703,1,100
114,House,427,20703,1,100
114,House,428,20703,1,100
114,House,429,20703,6,45.6
114,House,430,20703,6,100
114,House,431,20703,1,82.9
114,House,432,20703,1,
114,House,433,20703,1,
114,House,434,20703,1,98.7
114,House,435,20703,1,
114,House,436,20703,1,100
114,House,437,20703,1,100
114,House,438,20703,6,99.9
114,House,439,20703,1,81.9
114,House,440,20703,1,
114,House,441,20703,6,100
114,House,442,20703,1,100
114,House,443,20703,6,100
114,House,444,20703,6,100
114,House,445,20703,1,100
114,House,446,20703,1,
114,House,447,20703,1,
114,House,448,20703,1,100
114,House,449,20703,1,100
114,House,450,20703,1,62.6
114,House,451,20703,6,100
114,House,452,20703,6,100
114,House,453,20703,6,99.9
114,House,454,20703,6,100
114,House,455,20703,6,100
114,House,456,20703,1,100
114,House,457,20703,6,100
114,House,458,20703,6,97.7
114,House,459,20703,6,99.1
114,House,460,20703,1,99.7
114,House,461,20703,6,99.9
114,House,462,20703,1,100
114,House,463,20703,6,100
114,House,464,20703,1,99.9
114,House,465,20703,1,
114,House,466,20703,1,99.8
114,House,467,20703,1,
114,House,468,20703,1,100
114,House,469,20703,1,100
114,House,470,20703,1,
114,House,471,20703,1,100
114,House,472,20703,1,100
114,House,473,20703,6,99.9
114,House,474,20703,6,100
114,House,475,20703,6,100
114,House,476,20703,6,100
114,House,477,20703,6,100
114,House,478,20703,6,99.9
114,House,479,20703,6,100
114,House,480,20703,1,100
114,House,481,20703,1,100
114,House,482,20703,1,100
114,House,483,20703,1,
114,House,484,20703,1,96.4
114,House,485,20703,6,99.2
114,House,486,20703,6,100
114,House,487,20703,1,100
114,House,488,20703,1,
114,House,489,20703,1,100
114,House,490,20703,1,100
114,House,491,20703,6,99.8
114,House,492,20703,1,100
114,House,493,20703,1,
114,House,494,20703,1,
114,House,495,20703,1,100
114,House,496,20703,1,99.8
114,House,497,20703,1,99.8
114,House,498,20703,6,100
114,House,499,20703,1,99.8
114,House,500,20703,1,100
114,House,501,20703,1,100
114,House,502,20703,6,100
114,House,503,20703,1,100
114,House,504,20703,1,100
114,House,505,20703,1,
114,House,506,20703,6,100
114,House,507,20703,1,69.5
114,House,508,20703,6,99.2
114,House,509,20703,6,100
114,House,510,20703,6,99.8
114,House,511,20703,6,100
114,House,512,20703,1,99
114,House,513,20703,6,100
114,House,514,20703,6,99.8
114,House,515,20703,6,100
114,House,516,20703,1,100
114,House,517,20703,1,
114,House,518,20703,1,
114,House,519,20703,1,100
114,House,520,20703,1,100
114,House,521,20703,6,100
114,House,522,20703,1,100
114,House,523,20703,1,100
114,House,524,20703,1,
114,House,525,20703,1,100
114,House,526,20703,1,34.8
114,House,527,20703,1,100
114,House,528,20703,1,99.9
114,House,529,20703,6,99.9
114,House,530,20703,1,99.5
114,House,531,20703,1,100
114,House,532,20703,1,
114,House,533,20703,1,
114,House,534,20703,1,100
114,House,535,20703,1,100
114,House,536,20703,1,100
114,House,537,20703,6,99.9
114,House,538,20703,1,100
114,House,539,20703,1,100
114,House,540,20703,1,100
114,House,541,20703,6,100
114,House,542,20703,1,100
114,House,543,20703,6,68.2
114,House,544,20703,1,
114,House,545,20703,1,
114,House,546,20703,6,100
114,House,547,20703,1,99.9
114,House,548,20703,1,
114,House,549,20703,1,
114,House,550,20703,1,
114,House,551,20703,1,100
114,House,552,20703,1,100
114,House,553,20703,1,100
114,House,554,20703,1,100
114,House,555,20703,1,99.8
114,House,556,20703,6,100
114,House,557,20703,1,99.4
114,House,558,20703,6,100
114,House,559,20703,6,99.9
114,House,560,20703,6,99.9
114,House,561,20703,6,99.7
114,House,562,20703,6,100
114,House,563,20703,1,100
114,House,564,20703,1,100
114,House,565,20703,1,99.9
114,House,566,20703,1,99.6
114,House,567,20703,6,76.4
114,House,568,20703,1,100
114,House,569,20703,1,100
114,House,570,20703,6,61.7
114,House,571,20703,6,58.9
114,House,572,20703,6,100
114,House,573,20703,1,99.9
114,House,574,20703,6,38.2
114,House,575,20703,1,99.8
114,House,576,20703,1,98.7
114,House,577,20703,1,29.9
114,House,578,20703,1,100
114,House,579,20703,1,
114,House,580,20703,1,100
114,House,581,20703,1,99.8
114,House,582,20703,1,
114,House,583,20703,6,95.4
114,House,584,20703,1,87.7
114,House,585,20703,1,74.9
114,House,586,20703,6,89
114,House,587,20703,6,99.3
114,House,588,20703,6,95
114,House,589,20703,6,95.8
114,House,590,20703,1,25.1
114,House,591,20703,1,77.3
114,House,592,20703,1,79.6
114,House,593,20703,6,95.8
114,House,594,20703,1,100
114,House,595,20703,1,99.9
114,House,596,20703,6,97.5
114,House,597,20703,1,54.9
114,House,598,20703,1,97.3
114,House,599,20703,1,94.1
114,House,600,20703,6,58.5
114,House,601,20703,6,98
114,House,602,20703,1,87.8
114,House,603,20703,1,38.4
114,House,604,20703,1,40.9
114,House,605,20703,1,36.7
114,House,606,20703,1,41.3
114,House,607,20703,1,37.4
114,House,608,20703,1,38.1
114,House,609,20703,1,36.1
114,House,610,20703,1,36
114,House,611,20703,1,74.2
114,House,612,20703,1,49.1
114,House,613,20703,1,44.3
114,House,614,20703,1,98
114,House,615,20703,1,99.7
114,House,616,20703,6,99.9
114,House,617,20703,1,99.5
114,House,618,20703,1,98.9
114,House,619,20703,1,99.5
114,House,620,20703,1,89.9
114,House,621,20703,1,94.4
114,House,622,20703,6,100
114,House,623,20703,1,97
114,House,624,20703,1,
114,House,625,20703,1,
114,House,626,20703,1,100
114,House,627,20703,1,100
114,House,628,20703,1,100
114,House,629,20703,1,
114,House,630,20703,1,96.4
114,House,631,20703,1,100
114,House,632,20703,6,99.9
114,House,633,20703,1,100
114,House,634,20703,1,100
114,House,635,20703,1,100
114,House,636,20703,1,99.8
114,House,637,20703,6,99.9
114,House,638,20703,1,99.9
114,House,639,20703,6,100
114,House,640,20703,1,99.9
114,House,641,20703,1,
114,House,642,20703,1,
114,House,643,20703,1,100
114,House,644,20703,1,100
114,House,645,20703,1,
