,0
0,0.41353383458646614
1,0.4857389801210026
2,0.6596461668070767
3,0.45091225021720244
4,0.490360435875943
5,0.4517241379310345
6,0.4502572898799314
7,0.4556113902847571
8,0.47641509433962265
9,0.4208782104391052
10,0.5029838022165388
11,0.49291075896580483
12,0.4199288256227758
13,0.40932203389830507
14,0.4227234753550543
15,0.47084421235857266
16,0.6050420168067226
17,0.5340050377833753
18,0.46735395189003437
19,0.550561797752809
20,0.3961397058823529
21,0.3913808267370273
22,0.43068391866913125
23,0.49482758620689654
24,0.5158526135389888
25,0.49322033898305084
26,0.4860383944153578
27,0.4792703150912106
28,0.46101113967437873
29,0.4768392370572207
30,0.5925085130533485
31,0.4809437386569873
32,0.4712351945854484
33,0.5219594594594594
34,0.41935483870967744
35,0.43777197563098347
36,0.5407488986784141
37,0.4440465532676813
38,0.42118432026688907
39,0.6031613976705491
40,0.4325463743676223
41,0.5623365300784655
42,0.3789752650176678
43,0.46446700507614214
44,0.4463229078613694
45,0.44137353433835846
46,0.4891587163920208
47,0.4714893617021277
48,0.4750633981403212
49,0.46294602012808783
50,0.4734133790737564
51,0.584731543624161
52,0.41146278870829767
53,0.4885883347421809
54,0.3944636678200692
55,0.4977698483496878
56,0.4481865284974093
57,0.5483584738243124
58,0.48017241379310344
59,0.5332778702163061
60,0.5132890365448505
61,0.47063903281519864
62,0.4939655172413793
63,0.5136563876651983
64,0.511168384879725
65,0.4062237174095879
66,0.48009950248756217
67,0.5221386800334169
68,0.4948892674616695
69,0.5572649572649573
70,0.443307757885763
71,0.5699300699300699
72,0.5461538461538461
73,0.4261168384879725
74,0.4557291666666667
75,0.4725085910652921
76,0.4079173838209983
77,0.46778242677824267
78,0.414654454621149
79,0.46225614927905007
80,0.5683576956147893
81,0.5400516795865633
82,0.47088186356073214
83,0.5453774385072095
84,0.49187339606501285
85,0.5552784704904405
86,0.5136563876651983
87,0.5044150110375276
88,0.5287553648068669
89,0.49539748953974894
90,0.47122602168473726
91,0.4392288348700754
92,0.527802294792586
93,0.48607367475292
94,0.49469964664310956
95,0.5183603757472246
96,0.4703389830508475
97,0.48067226890756304
98,0.4759493670886076
99,0.47546833184656556
100,0.5105130361648444
101,0.5368150684931506
102,0.4263636363636364
103,0.46661031276415893
104,0.5471226021684737
105,0.6151260504201681
106,0.5564924114671164
107,0.4969538729329852
108,0.4635149023638232
109,0.4300608166811468
110,0.4386873920552677
111,0.6179775280898876
112,0.4334470989761092
113,0.44961896697713805
114,0.4329004329004329
115,0.43436960276338515
116,0.467005076142132
117,0.45217391304347826
118,0.5042955326460481
119,0.46683673469387754
120,0.47763713080168774
121,0.49740484429065746
122,0.4019138755980861
123,0.4845704753961635
124,0.4138863841298467
125,0.5029635901778154
126,0.5896103896103896
127,0.471872376154492
128,0.5987318840579711
129,0.5
130,0.5203045685279187
131,0.4833040421792619
132,0.4342857142857143
133,0.42529789184234645
134,0.41434599156118146
135,0.5
136,0.4907094594594595
137,0.4284532671629446
138,0.5113043478260869
139,0.4358752166377816
140,0.4709784411276949
141,0.44
142,0.5219917012448133
143,0.5748752079866889
144,0.44024604569420034
145,0.46219201359388273
146,0.6082214765100671
147,0.4587719298245614
148,0.4302600472813239
149,0.45103092783505155
150,0.4101497504159734
151,0.469557964970809
152,0.4400731930466606
153,0.5654362416107382
154,0.5628691983122363
155,0.46615905245346867
156,0.5395869191049913
157,0.4612141652613828
158,0.6072635135135135
159,0.4392523364485981
160,0.46319272125723737
161,0.4196277495769882
162,0.5549036043587594
163,0.4844144903117102
164,0.46804979253112033
165,0.4966273187183811
166,0.5054393305439331
167,0.7009966777408638
168,0.48650927487352447
169,0.35
170,0.48065348237317285
171,0.4846153846153846
172,0.5152109911678115
173,0.5257731958762887
174,0.6597938144329897
175,0.4751219512195122
176,0.48711340206185566
177,0.5108877721943048
178,0.476832350463353
179,0.5055131467345207
180,0.5016778523489933
181,0.6570458404074703
182,0.5541125541125541
183,0.5009009009009009
184,0.44389027431421446
185,0.48751076658053405
186,0.4714893617021277
187,0.4859154929577465
188,0.4412296564195298
189,0.44232437120555074
190,0.47420814479638007
191,0.42327150084317033
192,0.46965699208443273
193,0.43755238893545684
194,0.4397283531409168
195,0.44663677130044843
196,0.40982218458933106
197,0.4883920894239037
198,0.39421338155515373
199,0.45084745762711864
200,0.515728476821192
201,0.49584026622296173
202,0.5194375516956162
203,0.49829931972789115
204,0.4890310786106033
205,0.4248310810810811
206,0.5091666666666667
207,0.6310025273799494
208,0.4582256675279931
209,0.4891304347826087
210,0.4780033840947547
211,0.5265374894692502
212,0.4523809523809524
213,0.44010195412064573
214,0.4438430311231394
215,0.43327702702702703
216,0.4908485856905158
217,0.5978260869565217
218,0.5110921501706485
219,0.4392288348700754
220,0.4978687127024723
221,0.6149914821124361
222,0.45390693590869186
223,0.46464646464646464
224,0.4594594594594595
225,0.678082191780822
226,0.4150197628458498
227,0.4696282864913871
228,0.6352040816326531
229,0.49063336306868865
230,0.6125603864734299
231,0.4914236706689537
232,0.45122985581000846
233,0.4906462585034014
234,0.46683893195521103
235,0.4475230898404702
236,0.511844331641286
237,0.4790969899665552
238,0.4393687707641196
239,0.46166666666666667
240,0.5451505016722408
241,0.5033613445378151
242,0.4184277261200338
243,0.5345858240819812
244,0.5666104553119731
245,0.5426160337552742
246,0.4721984602224123
247,0.4128113879003559
248,0.5139712108382727
249,0.5457198443579766
250,0.5051282051282051
251,0.5174129353233831
252,0.5713094245204337
253,0.5263157894736842
254,0.5118845500848896
255,0.48336106489184694
256,0.4921161825726141
257,0.5163727959697733
258,0.4637062339880444
259,0.47757009345794393
260,0.6083617747440273
261,0.5059422750424448
262,0.4430740037950664
263,0.6073517126148705
264,0.41974169741697415
265,0.44616788321167883
266,0.5688568856885688
267,0.43601059135039716
268,0.4794144556267155
269,0.46940559440559443
270,0.4880514705882353
271,0.5466101694915254
272,0.46524064171123
273,0.5503875968992248
274,0.5548003398470688
275,0.425513698630137
276,0.4263565891472868
277,0.5
278,0.4262008733624454
