congress,chamber,rollnumber,icpsr,cast_code,prob
115,House,1,20703,1,100
115,House,2,20703,1,100
115,House,3,20703,1,100
115,House,4,20703,6,100
115,House,5,20703,1,99.9
115,House,6,20703,6,100
115,House,7,20703,1,100
115,House,8,20703,1,100
115,House,9,20703,1,100
115,House,10,20703,1,99.4
115,House,11,20703,1,100
115,House,12,20703,6,100
115,House,13,20703,6,99.9
115,House,14,20703,6,100
115,House,15,20703,6,100
115,House,16,20703,6,100
115,House,17,20703,6,99.6
115,House,18,20703,6,100
115,House,19,20703,6,99.7
115,House,20,20703,1,100
115,House,21,20703,6,100
115,House,22,20703,1,100
115,House,23,20703,1,100
115,House,24,20703,1,100
115,House,25,20703,1,100
115,House,26,20703,1,100
115,House,27,20703,1,64.6
115,House,28,20703,6,100
115,House,29,20703,6,100
115,House,30,20703,1,100
115,House,31,20703,1,100
115,House,32,20703,1,100
115,House,33,20703,1,98.1
115,House,34,20703,1,100
115,House,35,20703,1,98.8
115,House,36,20703,6,99.8
115,House,37,20703,6,100
115,House,38,20703,6,100
115,House,39,20703,6,100
115,House,40,20703,6,99.5
115,House,41,20703,6,100
115,House,42,20703,6,100
115,House,43,20703,6,100
115,House,44,20703,1,100
115,House,45,20703,6,100
115,House,46,20703,6,100
115,House,47,20703,6,100
115,House,48,20703,6,100
115,House,49,20703,6,100
115,House,50,20703,1,100
115,House,51,20703,1,99.9
115,House,52,20703,6,100
115,House,53,20703,1,100
115,House,54,20703,1,100
115,House,55,20703,1,100
115,House,56,20703,6,100
115,House,57,20703,1,99.7
115,House,58,20703,1,100
115,House,59,20703,1,99.2
115,House,60,20703,1,100
115,House,61,20703,1,100
115,House,62,20703,1,100
115,House,63,20703,6,100
115,House,64,20703,1,100
115,House,65,20703,1,100
115,House,66,20703,1,99.9
115,House,67,20703,1,100
115,House,68,20703,1,100
115,House,69,20703,1,100
115,House,70,20703,1,100
115,House,71,20703,1,100
115,House,72,20703,1,100
115,House,73,20703,1,100
115,House,74,20703,1,100
115,House,75,20703,1,100
115,House,76,20703,1,99.9
115,House,77,20703,1,100
115,House,78,20703,1,
115,House,79,20703,1,
115,House,80,20703,1,100
115,House,81,20703,1,100
115,House,82,20703,1,100
115,House,83,20703,1,100
115,House,84,20703,1,100
115,House,85,20703,1,
115,House,86,20703,1,
115,House,87,20703,1,100
115,House,88,20703,1,100
115,House,89,20703,1,100
115,House,90,20703,1,100
115,House,91,20703,1,100
115,House,92,20703,1,100
115,House,93,20703,1,100
115,House,94,20703,1,100
115,House,95,20703,1,100
115,House,96,20703,1,100
115,House,97,20703,1,100
115,House,98,20703,1,100
115,House,99,20703,1,
115,House,100,20703,1,100
115,House,101,20703,1,92
115,House,102,20703,9,100
115,House,103,20703,9,100
115,House,104,20703,6,23.6
115,House,105,20703,6,100
115,House,106,20703,6,100
115,House,107,20703,6,100
115,House,108,20703,6,100
115,House,109,20703,6,100
115,House,110,20703,6,98.9
115,House,111,20703,6,100
115,House,112,20703,6,100
115,House,113,20703,1,99.8
115,House,114,20703,1,100
115,House,115,20703,1,100
115,House,116,20703,1,100
115,House,117,20703,6,100
115,House,118,20703,6,100
115,House,119,20703,1,100
115,House,120,20703,1,99.9
115,House,121,20703,6,100
115,House,122,20703,1,100
115,House,123,20703,6,99.3
115,House,124,20703,6,100
115,House,125,20703,1,100
115,House,126,20703,1,
115,House,127,20703,1,100
115,House,128,20703,1,100
115,House,129,20703,1,100
115,House,130,20703,1,100
115,House,131,20703,6,100
115,House,132,20703,1,99.9
115,House,133,20703,6,100
115,House,134,20703,6,99.6
115,House,135,20703,1,99.9
115,House,136,20703,1,87.9
115,House,137,20703,1,100
115,House,138,20703,1,100
115,House,139,20703,6,99.9
115,House,140,20703,6,99.3
115,House,141,20703,6,99.9
115,House,142,20703,6,100
115,House,143,20703,6,100
115,House,144,20703,6,99.9
115,House,145,20703,6,99.9
115,House,146,20703,6,100
115,House,147,20703,1,99
115,House,148,20703,6,100
115,House,149,20703,6,99.9
115,House,150,20703,6,100
115,House,151,20703,1,99.7
115,House,152,20703,6,100
115,House,153,20703,6,99.9
115,House,154,20703,6,99.9
115,House,155,20703,6,100
115,House,156,20703,6,100
115,House,157,20703,1,99.8
115,House,158,20703,1,
115,House,159,20703,1,
115,House,160,20703,1,100
115,House,161,20703,1,100
115,House,162,20703,1,100
115,House,163,20703,1,64.7
115,House,164,20703,6,99.9
115,House,165,20703,6,100
115,House,166,20703,6,100
115,House,167,20703,1,99.8
115,House,168,20703,1,100
115,House,169,20703,1,
115,House,170,20703,1,
115,House,171,20703,1,63.2
115,House,172,20703,1,
115,House,173,20703,1,
115,House,174,20703,1,
115,House,175,20703,1,100
115,House,176,20703,1,100
115,House,177,20703,1,
115,House,178,20703,1,100
115,House,179,20703,1,100
115,House,180,20703,1,
115,House,181,20703,1,100
115,House,182,20703,6,100
115,House,183,20703,1,
115,House,184,20703,6,100
115,House,185,20703,1,100
115,House,186,20703,1,
115,House,187,20703,1,100
115,House,188,20703,1,99.9
115,House,189,20703,1,63.4
115,House,190,20703,1,100
115,House,191,20703,1,99.8
115,House,192,20703,1,
115,House,193,20703,1,70.5
115,House,194,20703,1,
115,House,195,20703,1,98.4
115,House,196,20703,1,100
115,House,197,20703,1,100
115,House,198,20703,1,100
115,House,199,20703,1,100
115,House,200,20703,1,100
115,House,201,20703,1,99
115,House,202,20703,1,100
115,House,203,20703,1,100
115,House,204,20703,6,100
115,House,205,20703,1,100
115,House,206,20703,6,100
115,House,207,20703,1,100
115,House,208,20703,1,
115,House,209,20703,1,
115,House,210,20703,1,100
115,House,211,20703,1,100
115,House,212,20703,9,100
115,House,213,20703,9,100
115,House,214,20703,6,100
115,House,215,20703,1,100
115,House,216,20703,1,100
115,House,217,20703,1,100
115,House,218,20703,1,100
115,House,219,20703,1,100
115,House,220,20703,1,
115,House,221,20703,1,
115,House,222,20703,1,
115,House,223,20703,1,100
115,House,224,20703,1,100
115,House,225,20703,1,99.1
115,House,226,20703,1,99
115,House,227,20703,1,61.1
115,House,228,20703,1,100
115,House,229,20703,1,100
115,House,230,20703,1,
115,House,231,20703,1,
115,House,232,20703,1,
115,House,233,20703,1,63.2
115,House,234,20703,1,100
115,House,235,20703,1,95.6
115,House,236,20703,1,
115,House,237,20703,1,
115,House,238,20703,1,
115,House,239,20703,1,100
115,House,240,20703,1,100
115,House,241,20703,1,
115,House,242,20703,6,100
115,House,243,20703,1,100
115,House,244,20703,1,59.8
115,House,245,20703,1,100
115,House,246,20703,1,100
115,House,247,20703,1,
115,House,248,20703,1,68.4
115,House,249,20703,1,
115,House,250,20703,1,59.1
115,House,251,20703,1,100
115,House,252,20703,1,100
115,House,253,20703,1,75.4
115,House,254,20703,1,
115,House,255,20703,1,99.3
115,House,256,20703,1,
115,House,257,20703,1,
115,House,258,20703,1,100
115,House,259,20703,1,100
115,House,260,20703,1,100
115,House,261,20703,1,
115,House,262,20703,1,100
115,House,263,20703,1,100
115,House,264,20703,1,99.9
115,House,265,20703,1,
115,House,266,20703,6,99.2
115,House,267,20703,1,92.7
115,House,268,20703,1,100
115,House,269,20703,1,100
115,House,270,20703,1,100
115,House,271,20703,1,100
115,House,272,20703,1,
115,House,273,20703,1,100
115,House,274,20703,1,100
115,House,275,20703,1,100
115,House,276,20703,1,
115,House,277,20703,1,
115,House,278,20703,6,99.4
115,House,279,20703,6,99.8
115,House,280,20703,6,100
115,House,281,20703,1,99.9
115,House,282,20703,6,100
115,House,283,20703,1,100
115,House,284,20703,1,
115,House,285,20703,1,
115,House,286,20703,1,
115,House,287,20703,1,100
115,House,288,20703,1,100
115,House,289,20703,1,100
115,House,290,20703,1,100
115,House,291,20703,1,100
115,House,292,20703,6,100
115,House,293,20703,1,100
115,House,294,20703,1,100
115,House,295,20703,1,100
115,House,296,20703,1,100
115,House,297,20703,1,100
115,House,298,20703,1,100
115,House,299,20703,1,
115,House,300,20703,1,
115,House,301,20703,1,100
115,House,302,20703,1,100
115,House,303,20703,1,68.9
115,House,304,20703,6,100
115,House,305,20703,1,100
115,House,306,20703,1,99.8
115,House,307,20703,1,100
115,House,308,20703,1,
115,House,309,20703,1,96.5
115,House,310,20703,1,100
115,House,311,20703,1,100
115,House,312,20703,1,100
115,House,313,20703,6,100
115,House,314,20703,1,100
115,House,315,20703,1,100
115,House,316,20703,1,100
115,House,317,20703,6,100
115,House,318,20703,1,100
115,House,319,20703,1,95.2
115,House,320,20703,1,99.9
115,House,321,20703,1,96.4
115,House,322,20703,1,
115,House,323,20703,1,
115,House,324,20703,1,100
115,House,325,20703,1,100
115,House,326,20703,1,62
115,House,327,20703,1,
115,House,328,20703,1,
115,House,329,20703,1,
115,House,330,20703,1,100
115,House,331,20703,1,100
115,House,332,20703,1,59.7
115,House,333,20703,1,98.9
115,House,334,20703,6,49.7
115,House,335,20703,6,100
115,House,336,20703,1,98.1
115,House,337,20703,1,
115,House,338,20703,1,100
115,House,339,20703,1,100
115,House,340,20703,6,100
115,House,341,20703,1,99.9
115,House,342,20703,6,100
115,House,343,20703,1,99.9
115,House,344,20703,1,
115,House,345,20703,1,97.5
115,House,346,20703,1,100
115,House,347,20703,1,100
115,House,348,20703,1,
115,House,349,20703,6,99.5
115,House,350,20703,6,100
115,House,351,20703,1,99.6
115,House,352,20703,6,99.8
115,House,353,20703,1,100
115,House,354,20703,1,100
115,House,355,20703,1,90.2
115,House,356,20703,6,99.9
115,House,357,20703,6,99.9
115,House,358,20703,6,99.8
115,House,359,20703,6,100
115,House,360,20703,6,99.6
115,House,361,20703,1,99.5
115,House,362,20703,6,99.5
115,House,363,20703,6,99.9
115,House,364,20703,6,74.7
115,House,365,20703,6,95.2
115,House,366,20703,6,5.8
115,House,367,20703,1,93.5
115,House,368,20703,1,97.3
115,House,369,20703,1,90.1
115,House,370,20703,6,79.7
115,House,371,20703,1,98
115,House,372,20703,1,99.8
115,House,373,20703,1,99.8
115,House,374,20703,1,100
115,House,375,20703,1,
115,House,376,20703,6,100
115,House,377,20703,1,99.4
115,House,378,20703,1,
115,House,379,20703,1,
115,House,380,20703,1,
115,House,381,20703,1,100
115,House,382,20703,1,100
115,House,383,20703,1,
115,House,384,20703,6,100
115,House,385,20703,6,100
115,House,386,20703,6,100
115,House,387,20703,6,100
115,House,388,20703,6,100
115,House,389,20703,6,100
115,House,390,20703,1,100
115,House,391,20703,1,100
115,House,392,20703,1,100
115,House,393,20703,1,100
115,House,394,20703,6,100
115,House,395,20703,6,100
115,House,396,20703,6,100
115,House,397,20703,1,100
115,House,398,20703,6,100
115,House,399,20703,6,99.9
115,House,400,20703,6,100
115,House,401,20703,1,100
115,House,402,20703,1,98.9
115,House,403,20703,6,100
115,House,404,20703,6,100
115,House,405,20703,1,100
115,House,406,20703,1,99.5
115,House,407,20703,1,99.9
115,House,408,20703,1,
115,House,409,20703,1,100
115,House,410,20703,1,100
115,House,411,20703,1,100
115,House,412,20703,1,
115,House,413,20703,1,100
115,House,414,20703,1,100
115,House,415,20703,6,60.3
115,House,416,20703,6,57.3
115,House,417,20703,6,96.8
115,House,418,20703,1,87.9
115,House,419,20703,6,99.6
115,House,420,20703,6,99.3
115,House,421,20703,6,99.3
115,House,422,20703,6,100
115,House,423,20703,6,100
115,House,424,20703,6,80
115,House,425,20703,1,100
115,House,426,20703,1,99.7
115,House,427,20703,1,53.9
115,House,428,20703,1,77.8
115,House,429,20703,6,97.4
115,House,430,20703,6,76.3
115,House,431,20703,6,99.9
115,House,432,20703,6,74.4
115,House,433,20703,6,100
115,House,434,20703,1,99.9
115,House,435,20703,1,100
115,House,436,20703,1,100
115,House,437,20703,1,
115,House,438,20703,1,
115,House,439,20703,1,
115,House,440,20703,1,
115,House,441,20703,1,100
115,House,442,20703,1,100
115,House,443,20703,1,61.3
115,House,444,20703,1,88.9
115,House,445,20703,6,45.6
115,House,446,20703,6,49.2
115,House,447,20703,6,32.4
115,House,448,20703,6,49.5
115,House,449,20703,6,96.2
115,House,450,20703,6,56.1
115,House,451,20703,1,57.2
115,House,452,20703,1,90
115,House,453,20703,1,57.5
115,House,454,20703,1,99.5
115,House,455,20703,6,30.1
115,House,456,20703,1,100
115,House,457,20703,1,99.9
115,House,458,20703,6,97.6
115,House,459,20703,6,100
115,House,460,20703,6,98.6
115,House,461,20703,6,100
115,House,462,20703,1,96.2
115,House,463,20703,1,88.3
115,House,464,20703,6,100
115,House,465,20703,6,100
115,House,466,20703,1,77.7
115,House,467,20703,1,98.2
115,House,468,20703,6,64
115,House,469,20703,1,91.4
