204	1	1	0	 HCONRES75	 Passed	 Condemning the National Islamic Front (NIF) Government of Sudan	 Suspend Rules and Agree	 as Amended	 H CON RES 75 QUESTION: SUSPEND RULES AND AGREE	 AS AMENDED CONDEMNING THE NATIONAL ISLAMIC FRONT (NIF) GOVERNMENT OF SUDAN								
205	6	1	1	 HR1000	 Failed	 nan	 On Agreeing to the Amendment	 H R 1000 AUTHOR(S): YOUNG OF FLORIDA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT AVIATION INVESTMENT AND REFORM ACT										
206	6	1	1	 HR1000	 Failed	 nan	 On Agreeing to the Amendment	 H R 1000 AUTHOR(S): GRAHAM OF SOUTH CAROLINA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT AVIATION INVESTMENT AND REFORM ACT										
207	1	1	0	 HR1000	 Passed	 Aviation Investment and Reform Act	 On Passage	 H R 1000 QUESTION: ON PASSAGE AVIATION INVESTMENT AND REFORM ACT										
208	6	1	1	 HRES209	 Passed	 Providing for consideration of H.R. 1501	 Consequences for Juvenile Offenders Act	 and H.R. 2122	 Mandatory Gun Show Background Check Act	 On Agreeing to the Resolution	 H RES 209 QUESTION: ON AGREEING TO THE RESOLUTION PROVIDING FOR CONSIDERATION OF H.R. 1501	 CONSEQUENCES FOR JUVENILE OFFENDERS ACT	 AND H.R. 2122	 MANDATORY GUN SHOW BACKGROUND CHECK ACT				
209	6	1	1	 HR1501	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 1501 AUTHOR(S): MCCOLLUM OF FLORIDA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT CONSEQUENCES FOR JUVENILE OFFENDERS ACT										
210	1	1	0	 HR1501	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 1501 AUTHOR(S): SALMON OF ARIZONA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT CONSEQUENCES FOR JUVENILE OFFENDERS ACT										
211	6	1	1	 HR1501	 Failed	 nan	 On Agreeing to the Amendment	 H R 1501 AUTHOR(S): HYDE OF ILLINOIS AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT CONSEQUENCES FOR JUVENILE OFFENDERS ACT										
212	1	1	0	 HR1501	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 1501 AUTHOR(S): CUNNINGHAM OF CALIFORNIA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT CONSEQUENCES FOR JUVENILE OFFENDERS ACT										
213	6	1	1	 HR1501	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 1501 AUTHOR(S): DELAY OF TEXAS AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT CONSEQUENCES FOR JUVENILE OFFENDERS ACT										
214	6	1	1	 HR1501	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 1501 AUTHOR(S): STEARNS OF FLORIDA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT CONSEQUENCES FOR JUVENILE OFFENDERS ACT										
215	1	1	0	 HR1501	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 1501 AUTHOR(S): LATHAM OF IOWA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT CONSEQUENCES FOR JUVENILE OFFENDERS ACT										
216	6	1	1	 HR1501	 Failed	 nan	 On Agreeing to the Amendment	 H R 1501 AUTHOR(S): ROGAN OF CALIFORNIA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT CONSEQUENCES FOR JUVENILE OFFENDERS ACT										
217	6	1	1	 HR1501	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 1501 AUTHOR(S): TANCREDO OF COLORADO AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT CONSEQUENCES FOR JUVENILE OFFENDERS ACT										
218	6	1	1	 HR1501	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 1501 AUTHOR(S): DEMINT OF SOUTH CAROLINA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT CONSEQUENCES FOR JUVENILE OFFENDERS ACT										
219	6	1	1	 HR1501	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 1501 AUTHOR(S): ADERHOLT OF ALABAMA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT CONSEQUENCES FOR JUVENILE OFFENDERS ACT										
220	1	1	0	 HR1501	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 1501 AUTHOR(S): SOUDER OF INDIANA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT CONSEQUENCES FOR JUVENILE OFFENDERS ACT										
221	6	1	1	 HR1501	 Failed	 nan	 On Agreeing to the Amendment	 H R 1501 AUTHOR(S): SOUDER OF INDIANA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT CONSEQUENCES FOR JUVENILE OFFENDERS ACT										
222	6	1	1	 HR1501	 Failed	 nan	 On Agreeing to the Amendment	 H R 1501 AUTHOR(S): WAMP OF TENNESSEE AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT CONSEQUENCES FOR JUVENILE OFFENDERS ACT										
223	1	1	0	 HR1501	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 1501 AUTHOR(S): MARKEY OF MASSACHUSETTS AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT CONSEQUENCES FOR JUVENILE OFFENDERS ACT										
224	1	1	0	 HR1501	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 1501 AUTHOR(S): GOODLING OF PENNSYLVANIA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT CONSEQUENCES FOR JUVENILE OFFENDERS ACT										
225	6	1	1	 HR1501	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 1501 AUTHOR(S): NORWOOD OF GEORGIA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT CONSEQUENCES FOR JUVENILE OFFENDERS ACT										
226	1	1	0	 HR1501	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 1501 AUTHOR(S): FLETCHER OF KENTUCKY AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT CONSEQUENCES FOR JUVENILE OFFENDERS ACT										
227	6	1	1	 HR1501	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 1501 AUTHOR(S): MCINTOSH OF INDIANA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT CONSEQUENCES FOR JUVENILE OFFENDERS ACT										
228	1	1	0	 HR1501	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 1501 AUTHOR(S): SCHAFFER OF COLORADO AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT CONSEQUENCES FOR JUVENILE OFFENDERS ACT										
229	1	1	0	 HR1501	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 1501 AUTHOR(S): EMERSON OF MISSOURI AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT CONSEQUENCES FOR JUVENILE OFFENDERS ACT										
230	1	6	1	 HR1501	 Failed	 Consequences for Juvenile Offenders Act	 On Motion to Recommit with Instructions	 H R 1501 QUESTION: ON MOTION TO RECOMMIT WITH INSTRUCTIONS CONSEQUENCES FOR JUVENILE OFFENDERS ACT										
231	6	1	1	 HR1501	 Passed	 Consequences for Juvenile Offenders Act	 On Passage	 H R 1501 QUESTION: ON PASSAGE CONSEQUENCES FOR JUVENILE OFFENDERS ACT										
232	6	1	1	 HR2122	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 2122 AUTHOR(S): DINGELL OF MICHIGAN AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT MANDATORY GUN SHOW BACKGROUND CHECK ACT										
233	1	6	1	 HR2122	 Failed	 nan	 On Agreeing to the Amendment	 H R 2122 AUTHOR(S): MCCARTHY OF NEW YORK AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT MANDATORY GUN SHOW BACKGROUND CHECK ACT										
234	1	1	0	 HR2122	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 2122 AUTHOR(S): DAVIS OF VIRGINIA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT MANDATORY GUN SHOW BACKGROUND CHECK ACT										
235	1	1	0	 HR2122	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 2122 AUTHOR(S): CUNNINGHAM OF CALIFORNIA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT MANDATORY GUN SHOW BACKGROUND CHECK ACT										
236	1	1	0	 HR2122	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 2122 AUTHOR(S): MCCOLLUM OF FLORIDA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT MANDATORY GUN SHOW BACKGROUND CHECK ACT										
237	6	1	1	 HR2122	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 2122 AUTHOR(S): SESSIONS OF TEXAS AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT MANDATORY GUN SHOW BACKGROUND CHECK ACT										
238	6	1	1	 HR2122	 Failed	 nan	 On Agreeing to the Amendment	 H R 2122 AUTHOR(S): GOODE OF VIRGINIA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT MANDATORY GUN SHOW BACKGROUND CHECK ACT										
239	6	1	1	 HR2122	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 2122 AUTHOR(S): HUNTER OF CALIFORNIA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT MANDATORY GUN SHOW BACKGROUND CHECK ACT										
240	1	1	0	 HR2122	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 2122 AUTHOR(S): ROGAN OF CALIFORNIA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT MANDATORY GUN SHOW BACKGROUND CHECK ACT										
241	1	6	1	 HR2122	 Failed	 nan	 On Agreeing to the Amendment	 H R 2122 AUTHOR(S): CONYERS OF MICHIGAN AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT MANDATORY GUN SHOW BACKGROUND CHECK ACT										
242	6	1	1	 HR2122	 Failed	 Mandatory Gun Show Background Check Act	 On Passage	 H R 2122 QUESTION: ON PASSAGE MANDATORY GUN SHOW BACKGROUND CHECK ACT										
243	1	1	0	 HR659	 Passed	 Protect America’s Treasures of the Revolution for Independence for Our Tomorrow Act or the PATRIOT Act.	 On Passage	 H R 659 QUESTION: ON PASSAGE PROTECT AMERICA'S TREASURES OF THE REVOLUTION FOR INDEPENDENCE FOR OUR TOMORROW ACT OR THE PATRIOT ACT.										
244	1	1	0	 HR1175	 Passed	 To Locate and Secure the Return of Zachary Baumel	 an American Citizen	 and other Israeli Soldiers Missing in Action.	 On Motion to Suspend Rules and Pass	 as Amended	 H R 1175 QUESTION: ON MOTION TO SUSPEND RULES AND PASS	 AS AMENDED TO LOCATE AND SECURE THE RETURN OF ZACHARY BAUMEL	 AN AMERICAN CITIZEN	 AND OTHER ISRAELI SOLDIERS MISSING IN ACTION.				
245	1	1	0	 HRES218	 Passed	 Providing for the bill H.R. 2084; FY 2000 Appropriations Act	 On Agreeing to the Resolution	 H RES 218 QUESTION: ON AGREEING TO THE RESOLUTION PROVIDING FOR THE BILL H.R. 2084; FY 2000 APPROPRIATIONS ACT										
246	1	6	1	 HR2084	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 2084 AUTHOR(S): ANDREWS OF NEW JERSEY AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT TRANSPORTATION APPROPRIATIONS ACT FY 2000										
247	6	1	1	 HR2084	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 2084 AUTHOR(S): ROGAN OF CALIFORNIA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT TRANSPORTATION APPROPRIATIONS ACT FY 2000										
248	1	1	0	 HR2084	 Passed	 Department of Transportation and Related Agencies Appropriations Act FY 2000	 On Passage	 H R 2084 QUESTION: ON PASSAGE DEPARTMENT OF TRANSPORTATION AND RELATED AGENCIES APPROPRIATIONS ACT FY 2000										
249	1	6	1	 HJRES33	 Failed	 nan	 On Agreeing to the Amendment	 H J RES 33 AUTHOR(S): WATT OF NORTH CAROLINA SUBSTITUTE AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT CONSTITUTIONAL AMENDMENT TO PROHIBIT THE PHYSICAL DESECRATION OF THE UNITED STATES FLAG										
250	6	1	1	 HJRES33	 Passed	 Constitutional Amendment to Prohibit the Physical Desecration of the United States Flag	 On Passage	 H J RES 33 QUESTION: ON PASSAGE CONSTITUTIONAL AMENDMENT TO PROHIBIT THE PHYSICAL DESECRATION OF THE UNITED STATES FLAG										
251	1	1	0	 HR775	 Passed	 Year 2000 Readiness and Responsibility Act	 On Motion to Instruct Conferees	 H R 775 QUESTION: ON MOTION TO INSTRUCT CONFEREES YEAR 2000 READINESS AND RESPONSIBILITY ACT										
252	6	6	0	 HR1658	 Failed	 nan	 On Agreeing to the Amendment	 H R 1658 AUTHOR(S): HUTCHINSON OF ARKANSAS SUBSTITUTE AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT CIVIL ASSEST FORFEITURE REFORM ACT										
253	1	1	0	 HR1658	 Passed	 Civil Asset Forfeiture Reform Act	 On Passage	 H R 1658 QUESTION: ON PASSAGE CIVIL ASSET FORFEITURE REFORM ACT										
254	1	1	0	 HR1802	 Passed	 Foster Care Independence Act	 On Passage	 H R 1802 QUESTION: ON PASSAGE FOSTER CARE INDEPENDENCE ACT										
255	1	1	0	 HR2280	 Passed	 Veterans Benefits Improvement Act of 1999	 On Motion to Suspend the Rules and Pass	 as Amended	 H R 2280 QUESTION: ON MOTION TO SUSPEND THE RULES AND PASS	 AS AMENDED VETERANS BENEFITS IMPROVEMENT ACT OF 1999								
256	1	1	0	 HRES226	 Passed	 Expressing the Sense of the House of Representatives Condemning the Acts of Arson at Three Sacramento	 California Synagogues	 On Motion to Suspend the Rules and Agree	 H RES 226 QUESTION: ON MOTION TO SUSPEND THE RULES AND AGREE EXPRESSING THE SENSE OF THE HOUSE OF REPRESENTATIVES CONDEMNING THE ACTS OF ARSON AT THREE SACRAMENTO	 CALIFORNIA SYNAGOGUES								
257	6	1	1	 HCONRES94	 Failed	 Recognizing the Need for Reconciliation and Healing and Prayer	 On Motion to Suspend the Rules and Agree	 H CON RES 94 QUESTION: ON MOTION TO SUSPEND THE RULES AND AGREE RECOGNIZING THE NEED FOR RECONCILIATION AND HEALING AND PRAYER										
258	1	6	1	 HR1218	 Failed	 Child Custody Protection Act	 On Motion to Recommit with Instructions	 H R 1218 QUESTION: ON MOTION TO RECOMMIT WITH INSTRUCTIONS CHILD CUSTODY PROTECTION ACT										
259	6	1	1	 HR1218	 Passed	 Child Custody Protection Act	 On Passage	 H R 1218 QUESTION: ON PASSAGE CHILD CUSTODY PROTECTION ACT										
260	1	1	0	 nan	 Passed	 nan	 On Approving the Journal	 JOURNAL QUESTION: ON APPROVING THE JOURNAL										
261	1	1	0	 HRES234	 Passed	 Waiving points of order against the conference report to accompany H.R. 775; Year 2000 Readiness and Responsibility Act	 On Agreeing to the Resolution	 H RES 234 QUESTION: ON AGREEING TO THE RESOLUTION WAIVING POINTS OF ORDER AGAINST THE CONFERENCE REPORT TO ACCOMPANY H.R. 775; YEAR 2000 READINESS AND RESPONSIBILITY ACT										
262	6	1	1	 HRES235	 Passed	 Providing for consideration of H.R. 10; Financial Services Act	 On Agreeing to the Resolution	 H RES 235 QUESTION: ON AGREEING TO THE RESOLUTION PROVIDING FOR CONSIDERATION OF H.R. 10; FINANCIAL SERVICES ACT										
263	1	1	0	 HR775	 Passed	 Year 2000 Readiness and Responsibility Act	 On Agreeing to the Conference Report	 H R 775 QUESTION: ON AGREEING TO THE CONFERENCE REPORT YEAR 2000 READINESS AND RESPONSIBILITY ACT										
264	1	6	1	 S1059	 Passed	 DOD Authorization for FY 2000	 On Motion to Instruct Conferees	 S 1059 QUESTION: ON MOTION TO INSTRUCT CONFEREES DOD AUTHORIZATION FOR FY 2000										
265	1	1	0	 S1059	 Passed	 DOD Authorization for FY 2000	 On Closing Portions of the Conference	 S 1059 QUESTION: ON CLOSING PORTIONS OF THE CONFERENCE DOD AUTHORIZATION FOR FY 2000										
266	6	1	1	 HR10	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 10 AUTHOR(S): BURR OF NORTH CAROLINA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT FINANCIAL SERVICES ACT										
267	6	1	1	 HR10	 Failed	 nan	 On Agreeing to the Amendment	 H R 10 AUTHOR(S): BARR OF GEORGIA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT FINANCIAL SERVICES ACT										
268	6	6	0	 HR10	 Failed	 nan	 On Agreeing to the Amendment	 H R 10 AUTHOR(S): COOK OF UTAH AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT FINANCIAL SERVICES ACT										
269	1	1	0	 HR10	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 10 AUTHOR(S): ROUKEMA OF NEW JERSEY AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT FINANCIAL SERVICES ACT										
270	1	6	1	 HR10	 Failed	 Financial Services Act	 On Motion that the Committee Rise	 H R 10 QUESTION: ON MOTION THAT THE COMMITTEE RISE FINANCIAL SERVICES ACT										
271	6	1	1	 HR10	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 10 AUTHOR(S): BLILEY OF VIRGINIA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT FINANCIAL SERVICES ACT										
272	1	1	0	 HR10	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 10 AUTHOR(S): OXLEY OF OHIO AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT FINANCIAL SERVICES ACT										
273	1	6	1	 HR10	 Failed	 Financial Services Act	 On Motion to Recommit with Instructions	 H R 10 QUESTION: ON MOTION TO RECOMMIT WITH INSTRUCTIONS FINANCIAL SERVICES ACT										
274	1	1	0	 HR10	 Passed	 Financial Services Act	 On Passage	 H R 10 QUESTION: ON PASSAGE FINANCIAL SERVICES ACT										
275	1	1	0	 nan	 Passed	 nan	 On Approving the Journal	 JOURNAL QUESTION: ON APPROVING THE JOURNAL										
276	1	1	0	 HCONRES107	 Passed	 Expressing the Sense of Congress Concerning the sexual relationships between adults and children	 Suspend the rules and agree	 as amended	 H CON RES 107 QUESTION: SUSPEND THE RULES AND AGREE	 AS AMENDED EXPRESSING THE SENSE OF CONGRESS CONCERNING THE SEXUAL RELATIONSHIPS BETWEEN ADULTS AND CHILDREN								
277	1	1	0	 HCONRES117	 Passed	 Concerning United Nations General Assembly Resolution ES-10/6	 Suspend the rules and agree	 as amended	 H CON RES 117 QUESTION: SUSPEND THE RULES AND AGREE	 AS AMENDED CONCERNING UNITED NATIONS GENERAL ASSEMBLY RESOLUTION ES-10/6								
278	1	1	0	 HR2465	 Passed	 Military Construction Appropriations Act	2000	 On Passage	 H R 2465 QUESTION: ON PASSAGE MILITARY CONSTRUCTION APPROPRIATIONS ACT	2000								
279	1	6	1	 HR2466	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 2466 AUTHOR(S): MCGOVERN OF MASSACHUSETTS AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT DEPARTMENT OF THE INTERIOR AND RELATED AGENCIES APPROPRIATIONS ACT	2000									
280	1	1	0	 HR2466	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 2466 AUTHOR(S): SANDERS OF VERMONT AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT DEPARTMENT OF THE INTERIOR AND RELATED AGENCIES APPROPRIATIONS ACT	2000									
281	6	1	1	 HR2466	 Failed	 nan	 On Agreeing to the Amendment	 H R 2466 AUTHOR(S): COBURN OF OKLAHOMA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT DEPARTMENT OF THE INTERIOR AND RELATED AGENCIES APPROPRIATIONS ACT	2000									
282	1	6	1	 HR2466	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 2466 AUTHOR(S): SANDERS OF VERMONT AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT DEPARTMENT OF THE INTERIOR AND RELATED AGENCIES APPROPRIATIONS ACT	2000									
283	1	6	1	 HR2466	 Failed	 nan	 On Agreeing to the Amendment	 H R 2466 AUTHOR(S): SANDERS OF VERMONT AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT DEPARTMENT OF THE INTERIOR AND RELATED AGENCIES APPROPRIATIONS ACT	2000									
284	1	6	1	 HR2466	 Failed	 nan	 On Agreeing to the Amendment	 H R 2466 AUTHOR(S): SLAUGHTER OF NEW YORK AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT DEPARTMENT OF THE INTERIOR AND RELATED AGENCIES APPROPRIATIONS ACT	2000									
285	6	1	1	 HR2466	 Failed	 nan	 On Agreeing to the Amendment	 H R 2466 AUTHOR(S): STEARNS OF FLORIDA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT DEPARTMENT OF THE INTERIOR AND RELATED AGENCIES APPROPRIATIONS ACT	2000									
286	1	6	1	 HR2466	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 2466 AUTHOR(S): RAHALL OF WEST VIRGINIA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT DEPARTMENT OF THE INTERIOR AND RELATED AGENCIES APPROPRIATIONS ACT	2000									
287	6	1	1	 HR2466	 Failed	 nan	 On Agreeing to the Amendment	 H R 2466 AUTHOR(S): WELDON OF FLORIDA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT DEPARTMENT OF THE INTERIOR AND RELATED AGENCIES APPROPRIATIONS ACT	2000									
288	1	6	1	 HR2466	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 2466 AUTHOR(S): KLINK OF PENNSYLVANIA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT DEPARTMENT OF THE INTERIOR AND RELATED AGENCIES APPROPRIATIONS ACT	2000									
289	1	6	1	 HR2466	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 2466 AUTHOR(S): FARR OF CALIFORNIA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT DEPARTMENT OF THE INTERIOR AND RELATED AGENCIES APPROPRIATIONS ACT	2000									
290	6	1	1	 HR2466	 Failed	 nan	 On Agreeing to the Amendment	 H R 2466 AUTHOR(S): TANCREDO OF COLORADO AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT DEPARTMENT OF THE INTERIOR AND RELATED AGENCIES APPROPRIATIONS ACT	2000									
291	1	6	1	 HR2466	 Failed	 nan	 On Agreeing to the Amendment	 H R 2466 AUTHOR(S): WU OF OREGON AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT DEPARTMENT OF THE INTERIOR AND RELATED AGENCIES APPROPRIATIONS ACT	2000									
292	1	6	1	 HR2466	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 2466 AUTHOR(S): KLINK OF PENNSYLVANIA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT DEPARTMENT OF THE INTERIOR AND RELATED AGENCIES APPROPRIATIONS ACT	2000									
293	1	6	1	 HR2466	 Failed	 Department of the Interior and Related Agencies Appropriations Act	2000	 On Motion to Recommit with Instructions	 H R 2466 QUESTION: ON MOTION TO RECOMMIT WITH INSTRUCTIONS DEPARTMENT OF THE INTERIOR AND RELATED AGENCIES APPROPRIATIONS ACT	2000								
294	1	1	0	 HR2466	 Passed	 Department of the Interior and Related Agencies Appropriations Act	2000	 On Passage	 H R 2466 QUESTION: ON PASSAGE DEPARTMENT OF THE INTERIOR AND RELATED AGENCIES APPROPRIATIONS ACT	2000								
295	1	1	0	 nan	 Passed	 nan	 On Approving the Journal	 JOURNAL QUESTION: ON APPROVING THE JOURNAL										
296	1	6	1	 HR1691	 Failed	 nan	 On Agreeing to the Amendment	 H R 1691 AUTHOR(S): NADLER OF NEW YORK SUBSTITUTE AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT RELIGIOUS LIBERTY PROTECTION ACT										
297	1	1	0	 HR1691	 Passed	 Religious Liberty Protection Act	 On Passage	 H R 1691 QUESTION: ON PASSAGE RELIGIOUS LIBERTY PROTECTION ACT										
298	1	1	0	 HRES246	 Passed	 Providing for the consideration of H.R. 2490	 Treasury and General Government Appropriations Act	 FY 2000	 On Ordering the Previous Question	 H RES 246 QUESTION: ON ORDERING THE PREVIOUS QUESTION PROVIDING FOR THE CONSIDERATION OF H.R. 2490	 TREASURY AND GENERAL GOVERNMENT APPROPRIATIONS ACT	 FY 2000						
299	1	6	1	 HR2490	 Failed	 nan	 On Agreeing to the Amendment	 H R 2490 AUTHOR(S): DELAURO OF CONNECTICUT AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT TREASURY AND GENERAL APPROPRIATIONS ACT	 FY 2000									
300	6	6	0	 HR2490	 Failed	 nan	 On Agreeing to the Amendment	 H R 2490 AUTHOR(S): SESSIONS OF TEXAS AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT TREASURY AND GENERAL APPROPRIATIONS ACT	 FY 2000									
301	1	6	1	 HR2490	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 2490 AUTHOR(S): LOWEY OF NEW YORK TO SMITH OF NEW JERSEY AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT TREASURY AND GENERAL APPROPRIATIONS ACT	 FY 2000									
302	6	1	1	 HR2490	 Failed	 nan	 On Agreeing to the Amendment	 H R 2490 AUTHOR(S): SANDERS OF VERMONT AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT TREASURY AND GENERAL APPROPRIATIONS ACT	 FY 2000									
303	6	1	1	 HR2490	 Passed	 Treasury and General Appropriations Act	 FY 2000	 On Passage	 H R 2490 QUESTION: ON PASSAGE TREASURY AND GENERAL APPROPRIATIONS ACT	 FY 2000								
304	6	1	1	 HRES250	 Passed	 Providing for the consideration of H.R. 434	 African Growth and Opportunity Act	 On Agreeing to the Resolution	 H RES 250 QUESTION: ON AGREEING TO THE RESOLUTION PROVIDING FOR THE CONSIDERATION OF H.R. 434	 AFRICAN GROWTH AND OPPORTUNITY ACT								
306	1	1	0	 HR1033	 Passed	 Lewis and Clark Expedition Bicentennial Commemorative Coin Act	 Suspend Rules and Pass	 H R 1033 QUESTION: SUSPEND RULES AND PASS LEWIS AND CLARK EXPEDITION BICENTENNIAL COMMEMORATIVE COIN ACT										
307	1	1	0	 HCONRES121	 Passed	 Expressing the Sense of the Congress Regarding the Victory of the United States in the Cold War and the Fall of the Berlin Wall	 Suspend Rules and Agree	 as Amended	 H CON RES 121 QUESTION:  SUSPEND RULES AND AGREE	 AS AMENDED EXPRESSING THE SENSE OF THE CONGRESS REGARDING THE VICTORY OF THE UNITED STATES IN THE COLD WAR AND THE FALL OF THE BERLIN WALL								
308	1	1	0	 HR1477	 Passed	 Iran Nuclear Proliferation Prevention Act	 On Motion to Suspend Rules and Pass	 H R 1477 QUESTION: ON MOTION TO SUSPEND RULES AND PASS IRAN NUCLEAR PROLIFERATION PREVENTION ACT										
309	1	1	0	 HCONRES158	 Passed	 Designating the Document Door of the United States Capitol as the “Memorial Door”.	 On Motion to Suspend the Rules and Agree	" H CON RES 158 QUESTION: ON MOTION TO SUSPEND THE RULES AND AGREE DESIGNATING THE DOCUMENT DOOR OF THE UNITED STATES CAPITOL AS THE ""MEMORIAL DOOR""."										
310	1	6	1	 HR2415	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 2415 AUTHOR(S): CAMPBELL OF (CAL) TO SMITH OF NEW JERSEY AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT TO ENHANCE SECURITY OF UNITED STATES MISSIONS AND PERSONNEL OVERSEAS	 TO AUTHORIZE APPROPRIATIONS FOR THE DEPARTMENT OF STATE FOR F.Y. 2000									
