CongressNum, Name, Party, State, District, allAverage, partisanAverage, billAverage,procedureAverage,resolutionAverage
106, CALVERT; Ken,200, CA,43,0.986830553,0.992141454,0.996478873,0.978964401,0.995780591
106, FILNER; Bob,100, CA,50,0.978661494,0.992277992,0.996153846,0.967093236,0.986607143
106, LOFGREN; Zoe,100, CA,16,0.956855225,0.938034188,0.976653696,0.941176471,0.973333333
106, RADANOVICH; George P.,200, CA,19,0.971171171,0.992217899,0.992753623,0.953719008,0.991266376
106, BILBRAY; Brian P.,200, CA,49,0.908536585,0.854214123,0.988416988,0.830677291,0.99103139
106, MILLENDER-McDONALD; Juanita,100, CA,37,0.990265487,0.992337165,0.992907801,0.991869919,0.982832618
106, TAUSCHER; Ellen O'Kane,100, CA,10,0.947871416,0.906432749,0.931972789,0.952845528,0.954545455
106, SHERMAN; Brad,100, CA,24,0.962101637,0.939047619,0.965517241,0.953968254,0.979253112
106, ROGAN; James E.,200, CA,27,0.96107507,0.975951904,0.985454545,0.932862191,1
106, SANCHEZ; Loretta,100, CA,46,0.95985727,0.947876448,0.939501779,0.957166392,0.991416309
106, CAPPS; Lois,100, CA,22,0.9497307,0.920233463,0.937728938,0.948136143,0.96875
106, BONO; Mary,200, CA,44,0.960837887,0.950207469,0.982206406,0.936752137,0.995689655
106, LEE; Barbara,100, CA,9,0.966573816,0.983050847,0.984848485,0.951260504,0.986238532
106, THOMPSON; Michael,100, CA,1,0.955575703,0.928015564,0.95221843,0.945518453,0.98340249
106, OSE; Doug,200, CA,3,0.961709706,0.932098765,0.996527778,0.933110368,0.991561181
106, NAPOLITANO; Grace Flores,100, CA,34,0.974605954,0.959770115,0.96875,0.9792,0.969432314
106, KUYKENDALL; Steven T.,200, CA,36,0.955004591,0.905701754,0.992907801,0.91754386,1
106, MILLER; Gary G.,200, CA,41,0.969938108,0.996161228,0.992592593,0.95024077,0.995798319
106, BACA; Joe,100, CA,42,0.952641166,0.897321429,0.952380952,0.950191571,0.958333333
106, MART�NEZ; Matthew G.,200, CA,31,0.991803279,1,1,0.976744186,1
106, HEFLEY; Joel M.,200, CO,5,0.935328185,0.964356436,0.976653696,0.891500904,0.995575221
106, McINNIS; Scott,200, CO,3,0.955736224,0.968503937,0.996254682,0.922056385,0.995780591
106, DeGETTE; Diana,100, CO,1,0.973803071,0.967307692,0.977941176,0.968903437,0.982142857
106, SCHAFFER; Robert W.,200, CO,4,0.944223108,0.977867203,0.979674797,0.906367041,0.995535714
106, UDALL; Mark,100, CO,2,0.958553792,0.943820225,0.961672474,0.947712418,0.982978723
106, TANCREDO; Thomas G.,200, CO,6,0.935100548,0.97338403,0.989169675,0.884083045,0.9958159
106, GEJDENSON; Samuel,100, CT,2,0.977836879,0.981024668,0.971428571,0.973898858,0.995744681
106, JOHNSON; Nancy Lee,200, CT,6,0.909348442,0.827050998,0.988929889,0.837168142,0.995515695
106, SHAYS; Christopher H.,200, CT,4,0.878758487,0.815315315,0.992156863,0.773897059,1
106, DeLAURO; Rosa L.,100, CT,3,0.980442177,0.983302412,0.979381443,0.97826087,0.987551867
106, MALONEY; James H.,100, CT,5,0.913701068,0.84148728,0.886925795,0.919407895,0.931330472
106, LARSON; John B.,100, CT,1,0.969298246,0.958095238,0.965156794,0.971061093,0.96969697
106, CASTLE; Michael Newbold,200, DE,1,0.91704649,0.848156182,0.989361702,0.854166667,0.983263598
106, YOUNG; Charles William (Bill),200, FL,10,0.97761194,0.959915612,0.984848485,0.967184801,0.995633188
106, McCOLLUM; Ira William; Jr. (Bill),200, FL,8,0.971188475,0.964285714,0.983695652,0.95625,1
106, SHAW; Eugene Clay; Jr.,200, FL,22,0.965548504,0.947698745,0.992932862,0.94017094,0.995744681
106, BILIRAKIS; Michael,200, FL,9,0.972996516,0.966403162,0.982758621,0.959349593,0.995884774
106, GOSS; Porter J.,200, FL,14,0.966233766,0.978640777,0.993174061,0.943457189,0.991769547
106, STEARNS; Clifford Bundy,200, FL,6,0.959219858,0.980916031,0.985454545,0.933870968,0.995708155
106, ROS-LEHTINEN; Ileana,200, FL,18,0.953183521,0.93418259,0.973880597,0.923893805,1
106, BROWN; Corrine,100, FL,3,0.965898618,0.953033268,0.974074074,0.975,0.930232558
106, FOWLER; Tillie Kidd,200, FL,4,0.968547641,0.961770624,0.992424242,0.945205479,1
106, THURMAN; Karen L.,100, FL,5,0.959459459,0.925252525,0.961267606,0.949409781,0.982832618
106, MICA; John L.,200, FL,7,0.968365554,0.971042471,0.992882562,0.945425361,1
106, CANADY; Charles Terrance,200, FL,12,0.984415584,0.98265896,0.986348123,0.977419355,1
106, MILLER; Daniel,200, FL,13,0.954341987,0.966269841,0.992727273,0.919141914,1
106, MEEK; Carrie P.,100, FL,17,0.970121382,0.962075848,0.970479705,0.974003466,0.959641256
106, DEUTSCH; Peter R.,100, FL,20,0.957597173,0.929824561,0.93639576,0.953947368,0.991701245
106, DIAZ-BALART; Lincoln,200, FL,21,0.955210238,0.925531915,0.974910394,0.931389365,0.99137931
106, HASTINGS; Alcee Lamar,100, FL,23,0.975466143,0.979716024,0.964705882,0.976363636,0.985981308
106, WELDON; David Joseph,200, FL,15,0.966812227,0.984585742,0.975524476,0.949838188,1
106, FOLEY; Mark A.,200, FL,16,0.94086496,0.891891892,0.989830508,0.89376054,0.995918367
106, BOYD; F. Allen; Jr.,100, FL,2,0.919561243,0.817180617,0.899305556,0.924561404,0.93220339
106, DAVIS; Jim,100, FL,11,0.95229682,0.904471545,0.927083333,0.963333333,0.954918033
106, WEXLER; Robert,100, FL,19,0.970216606,0.955165692,0.960288809,0.971760797,0.978165939
106, SCARBOROUGH; Charles Joseph,200, FL,1,0.926339286,0.934731935,0.977777778,0.880903491,0.983695652
106, LEWIS; John R.,100, GA,5,0.972067039,0.980806142,0.985018727,0.962264151,0.982142857
106, KINGSTON; Jack,200, GA,1,0.952554745,0.978473581,0.988721805,0.91959799,0.995708155
106, BISHOP; Sanford Dixon; Jr.,100, GA,2,0.896174863,0.773109244,0.881944444,0.907056799,0.886462882
106, COLLINS; Michael Allen (Mac),200, GA,3,0.962331839,0.988571429,0.978021978,0.942716858,0.995670996
106, LINDER; John Elmer,200, GA,11,0.958224543,0.980694981,0.996563574,0.926045016,0.995762712
106, McKINNEY; Cynthia Ann,100, GA,4,0.94084507,0.946153846,0.952380952,0.925801012,0.968181818
106, BARR; Bob,200, GA,7,0.949673812,0.980119284,0.973076923,0.922033898,0.995515695
106, CHAMBLISS; Saxby,200, GA,8,0.985126859,0.986538462,0.993103448,0.975806452,1
106, NORWOOD; Charles W.; Jr.,200, GA,10,0.96852518,0.982692308,0.97826087,0.955445545,0.991304348
106, ISAKSON; Johnny,200, GA,6,0.981949458,0.973523422,1,0.966386555,1
106, DEAL; John Nathan,200, GA,9,0.975,0.988212181,0.97826087,0.965686275,0.995689655
106, MINK; Patsy Takemoto,100, HI,2,0.949557522,0.942965779,0.95323741,0.9408,0.969162996
106, ABERCROMBIE; Neil,100, HI,1,0.945848375,0.914728682,0.948339483,0.944983819,0.945205479
106, CHENOWETH-HAGE; Helen P.,200, ID,1,0.94865811,0.979591837,0.972677596,0.923553719,0.989473684
106, SIMPSON; Michael K.,200, ID,2,0.981643357,0.986247544,0.996575342,0.967373573,1
106, CRANE; Philip Miller,200, IL,8,0.950884086,0.987679671,0.996183206,0.909259259,1
106, HYDE; Henry John,200, IL,6,0.966371681,0.961145194,0.979094077,0.950248756,0.991666667
106, PORTER; John Edward,200, IL,10,0.898536585,0.801909308,0.985239852,0.817669173,0.986486486
106, EVANS; Lane Allen,100, IL,17,0.956331878,0.957009346,0.975088968,0.934920635,0.991452991
106, LIPINSKI; William Oliver,100, IL,3,0.891542289,0.797297297,0.883018868,0.880998081,0.926940639
106, HASTERT; John Dennis,200, IL,14,0.971544715,0.975460123,1,0.959016393,0.965517241
106, COSTELLO; Jerry Francis,100, IL,12,0.903938521,0.833679834,0.911764706,0.878957169,0.952586207
106, EWING; Thomas W.,200, IL,15,0.968342644,0.976890756,0.996268657,0.944922547,0.995555556
106, RUSH; Bobby L.,100, IL,1,0.970647773,0.987804878,0.991071429,0.957371226,0.985074627
106, GUTI�RREZ; Luis V.,100, IL,4,0.96506986,0.975757576,0.979508197,0.952468007,0.981042654
106, MANZULLO; Donald A.,200, IL,16,0.942754919,0.976789168,1,0.896551724,0.995689655
106, WELLER; Gerald C. (Jerry),200, IL,11,0.952908587,0.937246964,0.989690722,0.912885662,1
106, LaHOOD; Ray H.,200, IL,18,0.942959002,0.915322581,0.992882562,0.901153213,0.991452991
106, JACKSON; Jesse L.; Jr.,100, IL,2,0.957181088,0.974025974,0.973880597,0.940514469,0.982683983
106, BLAGOJEVICH; Rod R.,100, IL,5,0.938572719,0.915686275,0.951672862,0.930420712,0.945454545
106, DAVIS; Danny K.,100, IL,7,0.96969697,0.988571429,0.98490566,0.95854063,0.981900452
106, SHIMKUS; John M.,200, IL,20,0.962489344,0.960076046,0.989830508,0.938582677,0.991769547
106, SCHAKOWSKY; Janice D.,100, IL,9,0.967213115,0.979047619,0.970149254,0.957307061,0.990950226
106, BIGGERT; Judy Borg,200, IL,13,0.941644562,0.920168067,0.993127148,0.894117647,0.995918367
106, PHELPS; David Dwain,100, IL,19,0.905763952,0.807531381,0.90877193,0.893169877,0.932489451
106, BURTON; Danny Lee,200, IN,6,0.954755309,0.982248521,0.977777778,0.927958834,0.995652174
106, VISCLOSKY; Peter,100, IN,1,0.950664137,0.948514851,0.962825279,0.926785714,0.995555556
106, ROEMER; Timothy John,100, IN,3,0.892307692,0.778969957,0.890784983,0.881118881,0.920833333
106, BUYER; Stephen Earle,200, IN,5,0.963269054,0.979919679,0.988721805,0.939899833,0.995535714
106, McINTOSH; David Martin,200, IN,2,0.94757536,0.972010178,0.993630573,0.915929204,0.993506494
106, SOUDER; Mark Edward,200, IN,4,0.968181818,0.986247544,0.978021978,0.953098827,0.995652174
106, HOSTETTLER; John Nathan,200, IN,8,0.937790158,0.978431373,0.979591837,0.897180763,1
106, PEASE; Edward Allan,200, IN,7,0.953287197,0.955598456,0.996515679,0.915605096,1
106, CARSON; Julia May,100, IN,10,0.965082444,0.974358974,0.983739837,0.95697074,0.965686275
106, HILL; Baron P.,100, IN,9,0.933513028,0.866255144,0.931506849,0.920068027,0.969957082
106, LEACH; James Albert Smith,200, IA,1,0.907103825,0.828633406,0.989619377,0.825704225,1
106, NUSSLE; James Allen,200, IA,2,0.951499118,0.956777996,0.996527778,0.913256956,0.995744681
106, GANSKE; Greg,200, IA,4,0.916510319,0.868888889,0.981343284,0.854092527,0.991525424
106, LATHAM; Thomas,200, IA,5,0.964881475,0.974509804,1,0.935855263,0.9958159
106, BOSWELL; Leonard L.,100, IA,3,0.897272727,0.792372881,0.884615385,0.888111888,0.933884298
106, TIAHRT; Todd,200, KS,4,0.960502693,0.986512524,0.992673993,0.93442623,0.991341991
106, MORAN; Jerry,200, KS,1,0.959053685,0.957198444,0.996478873,0.927083333,0.991631799
106, RYUN; Jim,200, KS,2,0.968281938,0.998113208,0.996402878,0.9456,0.995689655
106, MOORE; Dennis,100, KS,3,0.918061674,0.842412451,0.910344828,0.922570016,0.915966387
106, ROGERS; Harold Dallas (Hal),200, KY,5,0.98595259,0.980620155,0.989547038,0.978792822,1
106, LEWIS; Ron,200, KY,2,0.982035928,0.986717268,0.996563574,0.970125786,0.995867769
106, WHITFIELD; Wayne Edward (Ed),200, KY,1,0.97429078,0.959839357,0.996587031,0.954924875,0.995762712
106, NORTHUP; Anne Meagher,200, KY,3,0.978965819,0.975855131,0.996575342,0.962233169,1
106, LUCAS; Ken,100, KY,4,0.846722068,0.629290618,0.842809365,0.830570902,0.887966805
106, FLETCHER; Ernest L.,200, KY,6,0.98259356,0.978473581,1,0.967845659,1
106, LIVINGSTON; Robert Linlithgow; Jr.,200, LA,1,1,1,1,1,1
106, BAKER; Richard Hugh,200, LA,6,0.98464318,0.989959839,0.996428571,0.973109244,1
106, McCRERY; James O.; III,200, LA,4,0.98465704,0.985971944,1,0.971283784,1
106, JEFFERSON; William Jennings,100, LA,2,0.966119097,0.946428571,0.946280992,0.973128599,0.971563981
106, COOKSEY; John,200, LA,5,0.975435005,0.959810875,0.991935484,0.960076046,0.995073892
106, JOHN; Christopher,100, LA,7,0.891737892,0.739336493,0.869257951,0.890740741,0.92173913
106, VITTER; David,200, LA,1,0.975384615,0.984090909,0.991902834,0.960893855,0.994764398
