congress,year,name,party,state,district,margin,allAverage,partisanAverage,billAverage,procedureAverage,resolutionAverage
2014,113, COLLINS; Chris,200,NY,27,27.06614547,0.778877888,0.802110818,0.990384615,0.591194969,0.982142857
2016,114, COLLINS; Chris,200,NY,27,19.0948181,0.775423729,0.735751295,0.982758621,0.578723404,0.958677686
2018,115, COLLINS; Chris,200,NY,27,-4.788293025,0.772442589,0.732984293,0.995850622,0.526315789,0.996168582
2014,113, COLLINS; Doug,200,GA,9,61.3492629,0.771929825,0.786486486,0.989247312,0.597014925,0.98
2018,115, COLLINS; Doug,200,GA,9,59.01094584,0.76371308,0.731070496,0.986899563,0.527233115,0.984615385
2000,106, COLLINS; Michael Allen (Mac),200,GA,3,26.99171124,0.962331839,0.988571429,0.981012658,0.938380282,0.995670996
2002,107, COLLINS; Michael Allen (Mac),200,GA,8,56.66173795,0.847394541,0.8,0.986238532,0.708860759,0.974093264
2016,114, COMER; James,200,KY,1,45.23362798,0.769230769,0.666666667,1,0.357142857,1
2018,115, COMER; James,200,KY,1,37.17611626,0.756980352,0.732467532,0.987603306,0.511777302,0.984496124
2016,114, COMSTOCK; Barbara J.,200,VA,10,5.768553025,0.777777778,0.735064935,0.982978723,0.580299786,0.965811966
2018,115, COMSTOCK; Barbara J.,200,VA,10,-12.37510026,0.763215859,0.732970027,0.991111111,0.523595506,0.995798319
2010,111, CONAWAY; K. Michael,200,TX,11,65.39976825,0.743944637,0.736842105,0.992156863,0.522033898,0.961414791
2012,112, CONAWAY; K. Michael,200,TX,11,60.06999288,0.75752051,0.74789916,0.991631799,0.570219966,0.962546816
2000,106, CONDIT; Gary Adrian,100,CA,18,35.78922852,0.889400922,0.777777778,0.864864865,0.891472868,0.919491525
2010,111, CONNOLLY; Gerald E. (Gerry),100,VA,11,0.432251896,0.706263499,0.566088117,0.782352941,0.716586151,0.630841121
2012,112, CONNOLLY; Gerald E. (Gerry),100,VA,11,25.49459281,0.742410304,0.619130435,0.822134387,0.764826176,0.652173913
2014,113, CONNOLLY; Gerald E. (Gerry),100,VA,11,16.49796331,0.77267231,0.658536585,0.843137255,0.776280323,0.71031746
2018,115, CONNOLLY; Gerald E. (Gerry),100,VA,11,44.17453366,0.772609819,0.668257757,0.850515464,0.798295455,0.666666667
2000,106, CONYERS; John; Jr.,100,MI,14,79.80728176,0.962413452,0.984220907,0.996466431,0.93499044,0.985365854
2002,107, CONYERS; John; Jr.,100,MI,14,68.0043297,0.779969651,0.702064897,0.864705882,0.764505119,0.729591837
2004,108, CONYERS; John; Jr.,100,MI,14,70.15162228,0.736982644,0.612048193,0.810572687,0.754545455,0.619791667
2006,109, CONYERS; John; Jr.,100,MI,14,70.59240713,0.756097561,0.631111111,0.836448598,0.756164384,0.684647303
2010,111, CONYERS; John; Jr.,100,MI,14,56.89137283,0.707136998,0.565284178,0.789115646,0.726605505,0.615789474
2012,112, CONYERS; John; Jr.,100,MI,13,69.14799311,0.742090125,0.627865961,0.837944664,0.747276688,0.66163142
2014,113, CONYERS; John; Jr.,100,MI,13,63.17933236,0.767969735,0.658371041,0.849740933,0.764872521,0.708502024
2016,114, CONYERS; John; Jr.,100,MI,13,61.37775071,0.760842627,0.639534884,0.848341232,0.789017341,0.648
2014,113, COOK; Paul,200,CA,8,35.29370678,0.776548673,0.801546392,0.99,0.596707819,0.981651376
2016,114, COOK; Paul,200,CA,8,24.51603813,0.77544596,0.73657289,0.982758621,0.580712788,0.959016393
2000,106, COOKSEY; John,200,LA,5,45.13102249,0.975435005,0.959810875,0.992907801,0.957317073,0.995073892
2004,108, COOPER; James Hayes Shofner,100,TN,5,38.52715371,0.738797814,0.615537849,0.829545455,0.754299754,0.614754098
2006,109, COOPER; James Hayes Shofner,100,TN,5,41.10035814,0.72235023,0.585623679,0.82832618,0.738341969,0.598393574
2008,110, COOPER; James Hayes Shofner,100,TN,5,34.83138729,0.731204258,0.589646465,0.815384615,0.760902256,0.613839286
2010,111, COOPER; James Hayes Shofner,100,TN,5,14.1515746,0.701607268,0.55511811,0.779069767,0.712933754,0.626931567
2012,112, COOPER; James Hayes Shofner,100,TN,5,32.45253616,0.740210124,0.614285714,0.829268293,0.752711497,0.658823529
2014,113, COOPER; James Hayes Shofner,100,TN,5,26.62112059,0.770631068,0.656818182,0.851485149,0.763736264,0.717054264
