State,District,Party,Average,Margin,,AZ,4,-36.2,-33.2
NY,3,1,0.880982368,15.52890549,,OK,2,-35.6,-33.5
NY,4,1,0.853156146,22.57482871,,OR,3,47.3,47.7
NY,5,1,0.883000688,66.79494717,,OR,4,6.7,9
NY,9,1,0.849546044,65.81477002,,OR,5,3.4,6.3
NY,10,1,0.857142857,50.97599472,,PA,2,81.4,81.6
NY,12,1,0.869140625,53.26199182,,PA,11,-9.4,-7.2
NY,13,1,0.86131934,67.90609507,,PA,12,-16.9,-13.2
NY,14,1,0.881213686,56.68352876,,PA,13,33.3,32.5
NY,16,1,0.863545151,44.37333531,,PA,17,12.1,13.5
NY,17,1,0.883033419,23.44651102,,RI,1,34,34.4
NY,18,1,0.869140625,6.454866705,,SC,5,-11.5,-11.4
NY,20,1,0.868421053,32.10483571,,SC,6,42.8,42
NY,21,1,0.687143762,5.018958774,,SD,0,-18,-13.3
NY,25,1,0.869397218,18.42514562,,TN,4,-32.2,-29.5
NY,26,1,0.858598726,45.20774788,,TN,5,13.4,14.6
NY,27,1,0.745290745,0.836345552,,TN,6,-39.6,-35.4
NC,1,1,0.860465116,52.4619453,,TN,8,-33.3,-31.3
NC,4,1,0.87100814,48.94988307,,TX,17,-22.7,-20.3
NC,7,1,0.628238342,0.194217428,,TX,18,53.3,53.1
NC,8,1,0.666036547,-7.792774911,,TX,25,-22.1,-18.2
NC,12,1,0.862556198,59.26962317,,TX,27,-22.3,-20.8
OH,9,1,0.851439791,50.0070431,,TX,29,32.9,28.9
OH,13,1,0.839873418,45.53972041,,TX,30,60,58.6
OH,16,1,0.8620245,-4.093994631,,UT,2,-38.8,-29.3
OR,1,1,0.90192926,26.55159949,,VA,8,36.8,37.2
OR,3,1,0.855167874,54.6972954,,VA,9,-28.2,-23.5
OR,4,1,0.79987253,20.08314634,,WA,1,10.8,12.2
OR,5,1,0.743374273,11.58825502,,WA,2,21.2,21.6
PA,1,1,0.873896595,69.89700543,,WA,3,-1.7,0.8
PA,2,1,0.868978805,79.9119494,,WA,6,14.9,15.2
PA,12,1,0.71419598,-3.470515517,,WA,7,61.1,61.2
PA,13,1,0.873303167,38.17503184,,WA,9,38.7,38.4
PA,14,1,0.852280026,53.78867883,,WV,1,-26.7,-21.2
RI,1,1,0.875870804,12.1273432,,WV,3,-32.2,-22.9
RI,2,1,0.875237492,20.60450912,,WI,2,37.8,39.7
TN,5,1,0.731615336,32.45253616,,WI,3,11,15.7
TN,9,1,0.856683805,51.26958767,,WI,4,51.5,50.7
TX,9,1,0.836398224,58.79955983,,WI,7,-3.1,2.5
TX,15,1,0.833219412,24.02820109,,AL,3,-25.5,-25.8
TX,18,1,0.837912088,52.43264318,,AL,4,-50.8,-49.3
TX,28,1,0.698810269,38.12188717,,AK,0,-14.1,-18.5
TX,30,1,0.881812213,59.82885897,,AZ,1,-2.5,-3.1
TX,33,1,0.843007916,46.74078807,,AZ,2,-1.5,-1.4
TX,35,1,0.854662379,31.92415501,,AZ,3,24.5,20.7
UT,4,1,0.501567398,0.313115376,,AZ,5,-29.2,-28
VT,0,1,0.846496815,48.65192063,,AR,3,-33.9,-32.1
VA,3,1,0.856603774,62.79253518,,AR,4,-25.9,-24
VA,8,1,0.845956354,34.02090624,,CA,2,42,44
VA,11,1,0.844611529,25.49459281,,CA,3,11.2,12.3
WA,1,1,0.890909091,7.872350798,,CA,4,-18.4,-14.5
WA,2,1,0.831340466,22.28349504,,CA,11,37.6,39.6
WA,7,1,0.861871419,59.30802499,,CA,19,44.7,42.2
WA,9,1,0.840052016,43.2346656,,CA,21,11.1,8.6
WV,3,1,0.72778828,7.963100625,,CA,24,11,13.1
WI,3,1,0.808673469,28.25461202,,CA,25,-1.9,-0.2
WI,4,1,0.864756829,47.4142694,,CA,26,10.3,13
AL,5,-1,0.842866122,30.00861675,,CA,40,65,62.5
AL,6,-1,0.860374919,42.51676393,,CA,41,25.2,23.5
