State,District,Party,Average,Margin,,,
VA,8,1,0.868237347,35.8227517,,NC,2
VA,9,1,0.837585034,35.5933443,,NC,4
WA,1,1,0.892589509,35.43360462,,NC,7
WA,2,1,0.87962963,28.32340662,,NC,11
WA,3,1,0.865284974,26.24688814,,NC,12
WA,6,1,0.877326565,41.19820604,,NC,13
WA,7,1,0.86440678,63.68386198,,ND,0
WA,9,1,0.872250423,31.44655477,,OH,6
WV,1,1,0.80891174,28.64713376,,OH,9
WV,3,1,0.827470687,38.72388973,,OH,10
WI,2,1,0.88420182,25.73091162,,OH,11
WI,3,1,0.859083192,29.67189899,,OH,13
WI,4,1,0.886151232,42.89566188,,OH,17
WI,7,1,0.877655055,27.1990723,,OH,18
AL,3,-1,0.916030534,20.9907986,,OK,2
AL,4,-1,0.918046358,40.47697081,,OR,3
AK,0,-1,0.905490549,16.56289288,,PA,1
AZ,1,-1,0.890833333,8.305615292,,PA,2
AZ,2,-1,0.85472973,19.72545108,,PA,4
AZ,3,-1,0.866438356,21.03408498,,PA,7
AZ,5,-1,0.865609349,-3.971585565,,PA,8
AR,3,-1,0.920783646,24.46397643,,PA,10
AR,4,-1,0.80529462,-49.46269144,,PA,11
CA,2,-1,0.907795474,31.72044034,,PA,12
CA,3,-1,0.897350993,21.64667418,,PA,13
CA,4,-1,0.923743501,3.184984814,,PA,17
CA,11,-1,0.916738942,-6.531435442,,RI,1
CA,19,-1,0.921121823,21.15344462,,RI,2
CA,21,-1,0.942372881,36.79772327,,SC,5
CA,24,-1,0.928764653,24.05777574,,SC,6
CA,25,-1,0.931472081,24.28606967,,SD,0
CA,26,-1,0.929635762,19.06287679,,TN,4
CA,40,-1,0.871320437,36.07466505,,TN,5
CA,41,-1,0.929898649,33.84823584,,TX,15
CA,44,-1,0.931239389,22.95802191,,TX,17
CA,45,-1,0.892670157,21.32407109,,TX,18
CA,46,-1,0.846605197,22.8672354,,TX,20
CA,48,-1,0.87694974,22.68173363,,TX,22
CA,49,-1,0.926116838,29.84814618,,TX,23
CA,50,-1,0.857142857,9.637914112,,TX,25
CA,52,-1,0.905861456,32.65314654,,TX,27
CO,4,-1,0.88688946,2.486981169,,TX,28
CO,6,-1,0.83435048,18.74979238,,TX,29
CT,2,-1,0.811754685,-0.034239088,,TX,30
CT,4,-1,0.755013078,3.377683368,,UT,2
CT,5,-1,0.829535865,-12.92721897,,VA,8
DE,0,-1,0.837349398,18.40806694,,WA,1
FL,1,-1,0.873920553,37.07034917,,WA,2
FL,4,-1,0.934945788,39.34312632,,WA,3
FL,5,-1,0.866134752,19.70005159,,WA,6
FL,6,-1,0.851294904,19.75768096,,WA,7
FL,7,-1,0.924623116,26.16422189,,WA,9
FL,8,-1,0.890434783,7.055928709,,WV,3
FL,9,-1,0.87628866,11.83475522,,WI,2
FL,10,-1,0.892502258,31.8574043,,WI,3
FL,14,-1,0.892050209,28.74046336,,WI,7
FL,15,-1,0.912190963,12.56976126,,WI,8
FL,18,-1,0.903368794,24.29681891,,AK,0
FL,21,-1,0.904888889,18.93220309,,AZ,2
FL,22,-1,0.905612245,-3.756934529,,AZ,3
FL,24,-1,0.870402802,15.88145541,,AZ,6
FL,25,-1,0.898897059,16.93109984,,CA,2
GA,1,-1,0.908045977,37.00019476,,CA,3
GA,6,-1,0.877619447,44.77558277,,CA,21
GA,7,-1,0.892055268,41.82625982,,CA,24
GA,11,-1,0.906329114,42.1278892,,CA,25
ID,2,-1,0.922815946,27.57251608,,CA,26
IL,10,-1,0.851443124,6.750969299,,CA,40
IL,11,-1,0.903307888,10.19079629,,CA,41
IL,13,-1,0.884359401,16.67023982,,CA,42
IL,14,-1,0.948275862,19.57756767,,CA,44
IL,15,-1,0.826677995,15.17736091,,CA,45
IL,16,-1,0.89664311,31.41680971,,CA,46
IL,18,-1,0.891114983,34.55470647,,CA,48
IL,19,-1,0.898377455,21.42143921,,CA,49
IN,2,-1,0.886855241,-7.954196006,,CA,50
IN,3,-1,0.907613345,8.56990067,,CA,52
IN,4,-1,0.911607143,24.7530091,,CO,4
IN,5,-1,0.891534392,33.55113234,,CO,5
IN,6,-1,0.877358491,20.01999188,,CT,4
IN,8,-1,0.837837838,-22.0353665,,DE,0
IN,9,-1,0.912718204,-4.521188685,,FL,1
IA,2,-1,0.772884283,-2.854004489,,FL,4
IA,4,-1,0.930348259,14.42304075,,FL,5
IA,5,-1,0.874584718,22.9485751,,FL,6
KS,1,-1,0.866891323,58.65591991,,FL,7
KS,2,-1,0.910833333,-3.462462649,,FL,8
KS,4,-1,0.913895993,29.59493906,,FL,9
KY,1,-1,0.890893471,19.15964199,,FL,10
KY,2,-1,0.903198653,10.81168239,,FL,12
KY,3,-1,0.930313589,-2.447048127,,FL,13
KY,4,-1,0.894028595,8.313351272,,FL,14
KY,5,-1,0.921601334,47.51964243,,FL,18
LA,1,-1,0.872988992,80.73355476,,FL,21
LA,4,-1,0.926850258,40.45594018,,FL,24
LA,4,-1,0.926850258,44.15663727,,FL,25
LA,5,-1,0.934782609,39.25398405,,GA,1
LA,7,-1,0.932432432,41.39618161,,GA,3
MD,1,-1,0.844501718,37.68906954,,GA,6
MD,6,-1,0.829734219,20.53430109,,GA,7
MI,2,-1,0.909633419,34.87948176,,GA,9
MI,3,-1,0.845188285,28.51130635,,GA,10
MI,4,-1,0.922022279,22.62332305,,GA,11
MI,6,-1,0.865289256,22.65594694,,ID,1
MI,8,-1,0.904682274,12.34923771,,ID,2
MI,9,-1,0.928511354,5.347961474,,IL,6
MI,10,-1,0.894056848,34.90224502,,IL,10
MI,11,-1,0.865336658,11.0653764,,IL,13
MN,1,-1,0.854271357,-5.614314826,,IL,15
MN,2,-1,0.916528926,16.15130447,,IL,16
MN,3,-1,0.795969773,29.81417374,,IL,19
MS,1,-1,0.931122449,31.83154042,,IN,3
MO,2,-1,0.890376569,24.75861997,,IN,4
MO,6,-1,0.913226622,25.90126432,,IN,5
MO,7,-1,0.939728353,36.64105042,,IN,6
MO,8,-1,0.886986301,45.2348513,,IA,4
MO,9,-1,0.908552075,25.53621982,,IA,5
MT,0,-1,0.922628952,19.74958449,,KS,1
NE,1,-1,0.909547739,16.71127185,,KS,4
NE,2,-1,0.900253593,9.325801329,,KY,1
NV,3,-1,0.875930521,1.882177847,,KY,4
NH,1,-1,0.842715232,-2.629635853,,LA,1
NH,2,-1,0.842281879,-7.104007911,,LA,7
NJ,2,-1,0.820895522,26.01053314,,MD,6
NJ,3,-1,0.861809045,17.36756079,,MI,2
NJ,4,-1,0.823529412,32.48760156,,MI,3
NJ,5,-1,0.858102435,11.08439988,,MI,4
NJ,7,-1,0.867671692,1.479341957,,MI,6
NJ,11,-1,0.891959799,25.44479517,,MI,7
NM,1,-1,0.875315922,0.40784232,,MI,8
NM,2,-1,0.921319797,18.92618397,,MI,9
NY,3,-1,0.898734177,5.571768462,,MI,10
NY,13,-1,0.855060034,6.539366313,,MI,11
NY,19,-1,0.843353091,-9.820946962,,MN,2
NY,20,-1,0.864864865,-8.918462172,,MN,6
NY,23,-1,0.879795396,16.55798512,,MO,2
NY,25,-1,0.903862661,-4.143222281,,MO,6
NY,26,-1,0.917319408,4.023860978,,MO,7
NY,29,-1,0.903413822,-1.488144663,,MO,8
NC,3,-1,0.731814198,37.28936314,,MT,0
NC,5,-1,0.888704319,14.31459164,,NE,1
NC,6,-1,0.871270247,41.65545351,,NE,2
NC,8,-1,0.91440678,0.270730644,,NE,3
NC,9,-1,0.884582257,33.05437758,,NV,2
NC,10,-1,0.880370682,23.60016536,,NV,3
NC,11,-1,0.910122164,-7.588866792,,NJ,2
OH,1,-1,0.863598326,4.497092908,,NJ,4
OH,2,-1,0.929801325,1.057203221,,NJ,5
OH,3,-1,0.91015953,17.07375085,,NJ,11
OH,5,-1,0.916157205,13.69303328,,NY,3
OH,7,-1,0.919966302,21.24161457,,NY,23
OH,8,-1,1,27.60940406,,NY,29
OH,12,-1,0.895622896,14.60487104,,NC,3
OH,14,-1,0.873396065,18.50256869,,NC,5
OH,15,-1,0.909793814,0.478312712,,NC,6
OH,16,-1,0.908789386,16.67729944,,NC,8
OK,1,-1,0.90463692,32.76347229,,NC,9
OK,3,-1,0.936708861,34.92947505,,NC,10
OK,4,-1,0.935864979,29.2235073,,OH,1
OR,2,-1,0.904920767,36.45126031,,OH,2
PA,3,-1,0.907094595,11.56193524,,OH,3
PA,4,-1,0.900332226,-3.856205035,,OH,4
PA,5,-1,0.919164396,20.16930323,,OH,5
PA,6,-1,0.834049871,1.320420693,,OH,8
PA,7,-1,0.860606061,-12.75444493,,OH,12
PA,8,-1,0.802197802,-0.607644796,,OH,14
PA,9,-1,0.90984975,20.64485609,,OK,1
PA,10,-1,0.916737468,-5.885969842,,OK,3
PA,15,-1,0.876757651,10.07554006,,OK,4
PA,16,-1,0.887029289,17.01576692,,OK,5
PA,18,-1,0.89787234,15.67015665,,OR,2
PA,19,-1,0.831212892,30.45653169,,PA,3
SC,1,-1,0.92287695,22.00284421,,PA,6
SC,2,-1,0.911815068,25.34697038,,PA,9
SC,3,-1,0.877014419,25.75623076,,PA,15
