State,District,Party,Average,Margin
AK,0,-1,0.905144695,14.29892472
AL,5,-1,0.858778626,33.54014906
AL,6,-1,0.913439636,49.07411344
AR,2,-1,0.932216299,21.53148804
AZ,2,-1,0.915279879,13.91698529
AZ,4,-1,0.884069401,42.9067044
AZ,6,-1,0.914569031,24.26058118
AZ,7,1,0.885145482,50.48705694
AZ,9,1,0.690681284,21.87512387
CA,1,-1,0.951975213,18.10620438
CA,2,1,0.872389791,53.70019893
CA,3,1,0.849960723,18.70286341
CA,4,-1,0.903495441,25.43977115
CA,5,1,0.871017871,53.73702031
CA,6,1,0.878234399,50.854031
CA,7,1,0.831168831,2.342743549
CA,8,-1,0.946882217,24.51603813
CA,9,1,0.874903475,14.71904547
CA,10,-1,0.90617849,3.400914817
CA,11,1,0.880825057,44.10564403
CA,14,1,0.879576892,61.72625302
CA,15,1,0.867658575,47.53359064
CA,16,1,0.684500393,16.06968492
CA,18,1,0.882126348,42.29000093
CA,19,1,0.868654311,47.88886494
CA,21,-1,0.913242009,13.4765271
CA,22,-1,0.949165402,35.13018905
CA,23,-1,1,38.35022187
CA,25,-1,0.940092166,6.260123066
CA,26,1,0.839421613,20.75902493
CA,28,1,0.88863463,55.97335887
CA,30,1,0.86631016,45.27678306
CA,31,1,0.822239624,12.13507706
CA,33,1,0.879310345,32.87969499
CA,35,1,0.868400918,44.78182465
CA,36,1,0.841194969,24.1078683
CA,39,-1,0.93740458,14.46085874
CA,41,1,0.878511769,29.90274829
CA,42,-1,0.935632184,17.64423606
CA,43,1,0.870065789,52.16840686
CA,45,-1,0.95035461,17.11950335
CA,47,1,0.880699088,27.44289079
CA,48,-1,0.898713826,16.63947052
CA,49,-1,0.934681182,0.522641905
CA,50,-1,0.933897002,26.90252942
CA,51,1,0.861620795,45.50830978
CA,52,1,0.80291411,13.05136969
CA,53,1,0.877286585,34.01850779
CO,1,1,0.887442573,40.16082905
CO,2,1,0.834482759,19.71826674
CO,3,-1,0.926605505,14.25153127
CO,4,-1,0.884737679,31.89387481
CO,5,-1,0.943102104,31.42850829
CO,6,-1,0.921553694,8.303025634
CO,7,1,0.858832808,15.38410541
CT,1,1,0.874901652,25.99568587
CT,2,1,0.863149847,22.72805724
CT,3,1,0.883556255,31.18763717
CT,4,1,0.851795264,21.41927665
FL,3,-1,0.892555641,16.77998249
FL,6,-1,0.920930233,17.13470664
FL,7,-1,0.930745814,-2.956553703
FL,8,-1,0.908745247,30.56014297
FL,12,-1,0.949695122,37.18164087
FL,13,-1,0.877207063,-3.806183643
FL,14,1,0.872670807,23.57413129
FL,15,-1,0.941673062,14.92241125
FL,16,-1,0.905872888,19.53585754
FL,17,-1,0.920318725,27.57038459
FL,20,1,0.859664607,60.62400922
FL,23,1,0.87888707,16.21905175
FL,25,-1,0.907894737,24.72042331
FL,26,-1,0.826893354,11.78219304
FL,27,-1,0.845509893,9.787713303
GA,2,1,0.791056284,22.45969687
GA,4,1,0.876264591,51.43891944
GA,5,1,0.872064777,68.87828607
GA,6,-1,0.937646142,23.36497906
GA,7,-1,0.92101227,20.76336884
GA,8,-1,0.950426026,35.2858387
GA,11,-1,0.923076923,34.81154776
GA,12,-1,0.947166922,23.2017056
HI,1,1,0.893617021,46.57824859
HI,2,1,0.853881279,58.52774915
IA,1,-1,0.900383142,7.66279544
IA,2,1,0.867331288,7.469083755
IA,3,-1,0.939485628,13.73245842
IA,4,-1,0.939796716,22.61281967
ID,1,-1,0.872954014,36.35780356
ID,2,-1,0.926848249,33.51919004
IL,1,1,0.886989554,48.19193192
IL,2,1,0.883265306,59.61524097
IL,5,1,0.866409266,40.36031671
IL,6,-1,0.938053097,18.44803008
IL,7,1,0.879968203,68.47908669
IL,9,1,0.872456964,32.95814625
IL,10,-1,0.792626728,-5.209863075
IL,11,1,0.857902736,20.89573362
IL,12,-1,0.91362916,14.61013029
IL,13,-1,0.897534669,19.32988543
IL,14,-1,0.934362934,18.60974809
IL,17,1,0.846853677,20.61602129
IL,18,-1,0.928571429,44.26821929
IN,2,-1,0.94781274,22.33727651
IN,4,-1,0.92796282,34.11636621
IN,5,-1,0.943338438,27.16657206
IN,6,-1,0.941851568,42.43973211
IN,7,1,0.872699387,24.28798126
IN,8,-1,0.931402439,32.01283961
KS,2,-1,0.928957529,28.37515677
KS,3,-1,0.925613497,10.70259652
KS,4,-1,0.947492163,31.06364736
KY,1,-1,0.978723404,45.23362798
KY,3,1,0.880741338,26.9983916
KY,4,-1,0,42.64101931
KY,6,-1,0.947448591,22.17805681
LA,1,-1,0.962307692,61.75410358
LA,1,-1,0.962307692,70.66875161
LA,6,-1,0.922959573,53.65813143
LA,6,-1,0.922959573,47.751119
MA,3,1,0.881382561,35.87486532
MA,4,1,0.871428571,38.64570052
MA,8,1,0.848111025,42.49272113
MA,9,1,0.853828306,20.80729954
MD,1,-1,0.912012242,38.37424778
MD,2,1,0.828729282,28.95372884
MD,3,1,0.882172915,29.31979098
MD,5,1,0.882903981,38.0047361
MD,6,1,0.837708831,15.87147148
MD,7,1,0.886046512,53.08110074
ME,1,1,0.874713522,15.47566975
ME,2,-1,0.890577508,9.262344952
MI,2,-1,0.930980392,30.09389146
MI,3,-1,0.734493192,21.94879734
MI,4,-1,0.943295019,29.54701648
MI,5,1,0.885093168,26.05053071
MI,6,-1,0.914523449,22.23506744
MI,7,-1,0.942117289,15.02686622
MI,8,-1,0.941266209,16.85106058
MI,9,1,0.88190184,20.51308825
MI,11,-1,0.941221374,12.75692512
MI,12,1,0.880527541,35.08653384
MI,13,1,0.869530628,61.37775071
MI,14,1,0.875384615,59.82236457
MN,1,1,0.830030488,0.758322342
MN,3,-1,0.920550038,13.68307083
MN,4,1,0.880733945,23.37467502
MN,5,1,0.869188337,46.78328152
MN,6,-1,0.921898928,31.3083331
MN,7,1,0.585943468,5.026252709
MN,8,1,0.854020297,0.562790815
MO,1,1,0.879377432,55.49862431
MO,2,-1,0.956626506,20.87244977
MO,3,-1,0.940814758,39.90247955
MO,4,-1,0.934250765,39.98326481
MO,5,1,0.863105175,20.66025226
MO,6,-1,0.917752443,39.57722204
MO,7,-1,0.942201108,40.14565558
MO,8,-1,0.938167939,51.7313053
MS,1,-1,0.929006085,40.77850231
MS,2,1,0.863886703,37.95922212
MS,3,-1,0.938603223,35.83213513
MS,4,-1,0.915537849,37.24025124
MT,0,-1,0.920155039,15.64280243
NC,1,1,0.873407643,39.66193231
NC,3,-1,0.689952904,34.40242693
NC,4,1,0.893962848,36.43566822
NC,5,-1,0.935185185,16.80337091
NC,6,-1,0.939324117,18.45820874
NC,7,-1,0.937121212,21.82763599
NC,8,-1,0.931484502,17.54585274
NC,9,-1,0.95120062,16.36455504
NC,10,-1,0.959695817,26.27807768
NC,11,-1,0.922546012,28.17795432
NC,12,1,0.882113821,34.04809619
ND,0,-1,0.943102104,45.38304492
NE,1,-1,0.909439754,38.90527672
NE,2,1,0.697247706,-1.201492848
NH,1,-1,0.92147806,-1.339949287
NH,2,1,0.855945122,4.435264144
NJ,1,1,0.861408882,23.19124767
NJ,2,-1,0.839636914,21.99499656
NJ,3,-1,0.877880184,20.4444309
NJ,4,-1,0.88190184,30.19682341
NJ,5,-1,0.901778809,-4.411298752
NJ,6,1,0.872209392,28.84468655
NJ,7,-1,0.910741301,10.95988476
NJ,8,1,0.852090032,58.54913688
NJ,9,1,0.870615744,41.70175183
NJ,10,1,0,73.80044979
NJ,11,-1,0.928134557,19.14583035
NJ,12,1,0.863045142,30.84286674
NM,1,1,0.857819905,30.29460332
NM,2,-1,0.9144,25.47144661
NV,1,1,0.868630573,33.10981566
NV,2,-1,0.928225806,21.36811602
NV,4,-1,0.93595679,-4.008711811
NY,1,-1,0.902809415,9.302774964
NY,2,-1,0.904980843,17.41478561
NY,4,1,0.84591195,20.57672527
NY,5,1,0.882960413,68.63414595
NY,6,1,0.886703383,41.68354105
NY,10,1,0.877650897,50.2191238
NY,11,-1,0.886932345,14.83763577
NY,12,1,0.877990431,57.88068104
NY,14,1,0.880375293,56.5004739
NY,18,1,0.810999225,9.348746408
NY,20,1,0.873185638,31.60911762
NY,21,-1,0.881060606,26.55200252
NY,23,-1,0.903300077,10.25125085
NY,24,-1,0.860429448,12.61139591
NY,25,1,0.875968992,16.29675432
NY,26,1,0.875290473,44.5249486
NY,27,-1,0.933488012,19.0948181
OH,1,-1,0.950794852,18.42508766
OH,2,-1,0.940905602,32.17918238
OH,3,1,0.883076923,37.14797615
OH,4,-1,0.892638037,35.97772373
OH,5,-1,0.951761103,41.80022088
OH,6,-1,0.930197269,41.35191822
OH,7,-1,0.942028986,35.07735347
OH,8,-1,0.925595238,41.79308523
OH,9,1,0.87073751,37.37243182
OH,10,-1,0.911040508,31.41484602
OH,11,1,0.869056898,60.50758872
OH,12,-1,0.928229665,36.71934183
OH,13,1,0.863132911,35.46479916
OH,14,-1,0.900156006,25.20462844
OH,15,-1,0.937893082,32.32919743
OH,16,-1,0.912012242,30.65875055
OK,2,-1,0.941176471,47.40283408
OK,3,-1,0.942336874,56.58173184
OK,4,-1,0.933231005,43.54563098
OK,5,-1,0.929946112,20.28406458
OR,1,1,0.880769231,22.64906968
OR,2,-1,0.932267884,43.68136703
OR,4,1,0.826229508,15.81741991
OR,5,1,0.751962323,10.46935472
PA,1,1,0.877276326,64.40319722
PA,2,1,0.891304348,80.35426191
PA,4,-1,0.89092296,32.11257485
PA,5,-1,0.907505686,34.32886244
PA,6,-1,0.852220521,14.4754448
PA,7,-1,0.877473364,18.93376056
PA,8,-1,0.843059937,8.851472357
PA,9,-1,0.93129771,26.68171711
PA,10,-1,0.935980551,40.33775593
PA,11,-1,0.919967664,27.33565119
PA,12,-1,0.947288006,23.52368014
PA,14,1,0.868878357,48.73227457
PA,15,-1,0.888636364,20.36578717
PA,17,1,0.876352396,7.608028271
RI,1,1,0.891271057,29.40688142
RI,2,1,0.866207951,27.40892349
SC,1,-1,0.820233463,24.56284405
SC,2,-1,0.948501153,25.71837008
SC,3,-1,0.909803922,45.77873414
SC,4,-1,0.938193344,36.17952447
SC,5,-1,0.857255521,20.47464158
SC,6,1,0,42.47639828
SC,7,-1,0.895057034,25.22394917
SD,0,-1,0.941815361,28.20557176
TN,2,-1,0.861196319,51.29105307
TN,3,-1,0.938262195,37.55028082
TN,4,-1,0.91141261,30.06821293
TN,5,1,0.775557264,25.10674699
TN,6,-1,0.961447679,49.29487855
TN,7,-1,0.941451991,48.71159189
TN,9,1,0.861801242,59.87786582
TX,1,-1,0.878859857,49.76287302
TX,3,-1,0.93812709,26.6264729
TX,6,-1,0.9328125,19.31129618
TX,7,-1,0.942811755,12.34713325
TX,9,1,0.868012422,61.28748216
TX,10,-1,0.952895753,18.89027511
TX,12,-1,0.945572705,42.54560867
TX,14,-1,0.895738204,23.71218977
TX,17,-1,0.937548188,25.56241047
TX,18,1,0.884325231,49.8516945
TX,21,-1,0.948342328,20.56056916
TX,22,-1,0.951426369,19.04314614
TX,23,-1,0.93631539,1.33251807
TX,24,-1,0.926769731,16.85417309
TX,25,-1,0.935379645,20.60471444
TX,26,-1,0.89581749,36.7378087
TX,27,-1,0.924311927,23.38537601
TX,28,1,0.681318681,34.8868479
TX,29,1,0,48.49373399
TX,30,1,0,58.94363558
TX,31,-1,0.949675325,21.85896805
TX,33,1,0.854642314,47.42064905
TX,34,1,0.797517455,25.34424207
TX,35,1,0.871066769,31.49572823
UT,1,-1,0.945063694,39.48264739
UT,2,-1,0.948717949,27.72425303
UT,3,-1,0.93520687,46.92276686
UT,4,-1,0.937548188,12.45005809
VA,1,-1,0.937260903,23.25214963
VA,3,1,0,33.63257988
VA,6,-1,0,33.48049254
