congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
106,House,1,1999-01-06,1,2,220,205,0.035,0.081,-0.672,0.99,-0.996,,Hastert,,Election of the Speaker,"DENNIS HASTERT ELECTED SPEAKER OF THE HOUSE OVER RICHARD A. GEPHARDT. YEA IS A VOTE FOR HASTERT, NAY IS A VOTE FOR GEPHARDT."
106,House,2,1999-01-06,1,3,216,207,0.033,0.072,-0.661,0.974,-0.98,HRES5,Passed,Adopting rules for the One Hundred Sixth Congress,On Ordering the Previous Question,H RES 5 QUESTION: ON ORDERING THE PREVIOUS QUESTION ADOPTING RULES FOR THE ONE HUNDRED SIXTH CONGRESS
106,House,3,1999-01-06,1,4,201,218,0.024,0.04,0.656,-0.971,-0.978,HRES5,Failed,Adopting rules for the One Hundred Sixth Congress,On Motion to Commit with Instructions,H RES 5 QUESTION: ON MOTION TO COMMIT WITH INSTRUCTIONS ADOPTING RULES FOR THE ONE HUNDRED SIXTH CONGRESS
106,House,4,1999-01-06,1,5,217,204,0.03,0.063,-0.659,0.972,-0.972,HRES5,Passed,Adopting rules for the One Hundred Sixth Congress,On Agreeing to the Resolution,H RES 5 QUESTION: ON AGREEING TO THE RESOLUTION ADOPTING RULES FOR THE ONE HUNDRED SIXTH CONGRESS
106,House,5,1999-01-06,1,6,223,198,-0.041,0.033,-0.777,0.093,-5.108,HRES10,Passed,Appointment of Managers to Conduct an Impeachment Trial,On Agreeing to the Resolution,H RES 10 QUESTION: ON AGREEING TO THE RESOLUTION APPOINTMENT OF MANAGERS TO CONDUCT AN IMPEACHMENT TRIAL
106,House,6,1999-02-02,1,7,402,2,0.0,0.0,0.0,0.0,0.0,HR68,Passed,Small Business Investment Company Technical Corrections Act,"On Motion to Suspend the Rules and Pass, as Amended","H R 68 QUESTION: ON MOTION TO SUSPEND THE RULES AND PASS, AS AMENDED SMALL BUSINESS INVESTMENT COMPANY TECHNICAL CORRECTIONS ACT"
106,House,7,1999-02-02,1,8,409,0,0.0,0.0,0.0,0.0,0.0,HR432,Passed,Dante B. Fascell North-South Center Designation,On Motion to Suspend the Rules and Pass,H R 432 QUESTION: ON MOTION TO SUSPEND THE RULES AND PASS DANTE B. FASCELL NORTH-SOUTH CENTER DESIGNATION
106,House,8,1999-02-03,1,9,408,3,0.0,0.0,0.0,0.0,0.0,HR99,Passed,Federal Aviation Administration Programs Extension,On Passage,H R 99 QUESTION: ON PASSAGE FEDERAL AVIATION ADMINISTRATION PROGRAMS EXTENSION
106,House,9,1999-02-03,1,10,407,1,0.0,0.0,0.0,0.0,0.0,HR98,Passed,Aviation War Risk Insurance Program Extension,"On Motion to Suspend the Rules and Pass, as Amended","H R 98 QUESTION: ON MOTION TO SUSPEND THE RULES AND PASS, AS AMENDED AVIATION WAR RISK INSURANCE PROGRAM EXTENSION"
106,House,10,1999-02-03,1,11,383,18,-0.746,-0.054,-0.219,0.316,-62.656,,Passed,,On Approving the Journal,JOURNAL QUESTION: ON APPROVING THE JOURNAL
106,House,11,1999-02-09,1,12,411,4,0.0,0.0,0.0,0.0,0.0,HR440,Passed,Microloan Program Technical Corrections Act,"On Motion to Suspend the Rules and Pass, as Amended","H R 440 QUESTION: ON MOTION TO SUSPEND THE RULES AND PASS, AS AMENDED MICROLOAN PROGRAM TECHNICAL CORRECTIONS ACT"
106,House,12,1999-02-09,1,13,413,0,0.0,0.0,0.0,0.0,0.0,HR439,Passed,Paperwork Elimination Act,On Motion to Suspend the Rules and Pass,H R 439 QUESTION: ON MOTION TO SUSPEND THE RULES AND PASS PAPERWORK ELIMINATION ACT
106,House,13,1999-02-09,1,14,414,0,0.0,0.0,0.0,0.0,0.0,HR435,Passed,Miscellaneous Trade and Technical Corrections Act,On Motion to Suspend the Rules and Pass,H R 435 QUESTION: ON MOTION TO SUSPEND THE RULES AND PASS MISCELLANEOUS TRADE AND TECHNICAL CORRECTIONS ACT
106,House,14,1999-02-10,1,15,210,216,-0.06,0.193,0.257,0.742,-80.4,HR350,Failed,,On Agreeing to the Amendment,H R 350 AUTHOR(S): BOEHLERT OF NEW YORK AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT MANDATES INFORMATION ACT
106,House,15,1999-02-10,1,16,203,217,0.014,0.003,0.259,0.501,-64.183,HR350,Failed,,On Agreeing to the Amendment,H R 350 AUTHOR(S): WAXMAN OF CALIFORNIA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT MANDATES INFORMATION ACT
106,House,16,1999-02-10,1,17,274,149,-0.409,0.623,-0.261,-0.399,-102.143,HR350,Passed,Mandates Information Act,On Passage,H R 350 QUESTION: ON PASSAGE MANDATES INFORMATION ACT
106,House,17,1999-02-10,1,18,420,0,0.0,0.0,0.0,0.0,0.0,SCONRES7,Passed,Honoring the life and legacy of King Hussein ibn Talal al-Hashem,On Agreeing to the Resolution,S CON RES 7 QUESTION: ON AGREEING TO THE RESOLUTION HONORING THE LIFE AND LEGACY OF KING HUSSEIN IBN TALAL AL-HASHEM
106,House,18,1999-02-11,1,19,210,214,-0.066,0.593,0.295,0.272,-50.756,HR391,Failed,,On Agreeing to the Amendment,H R 391 AUTHOR(S): KUCINICH OF OHIO AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT SMALL BUSINESS PAPERWORK REDUCTION ACT AMENDMENTS
106,House,19,1999-02-11,1,20,274,152,-0.344,0.636,-0.255,-0.229,-99.528,HR391,Passed,Small Business Paperwork Reduction Act Amendments,On Passage,H R 391 QUESTION: ON PASSAGE SMALL BUSINESS PAPERWORK REDUCTION ACT AMENDMENTS
106,House,20,1999-02-11,1,21,413,2,0.0,0.0,0.0,0.0,0.0,HR437,Passed,Presidential and Executive Office Financial Accountability Act,On Passage,H R 437 QUESTION: ON PASSAGE PRESIDENTIAL AND EXECUTIVE OFFICE FINANCIAL ACCOUNTABILITY ACT
106,House,21,1999-02-23,1,22,394,21,0.663,0.288,0.277,0.027,-54.238,HR171,Passed,Coastal Heritage Trail Route in New Jersey,On Motion to Suspend the Rules and Pass,H R 171 QUESTION: ON MOTION TO SUSPEND THE RULES AND PASS COASTAL HERITAGE TRAIL ROUTE IN NEW JERSEY
106,House,22,1999-02-23,1,23,395,22,0.648,0.477,0.28,0.052,-56.207,HR193,Passed,"Sudbury, Assabet, and Concord Wild and Scenic River Act","On Motion to Suspend the Rules and Pass, as Amended","H R 193 QUESTION: ON MOTION TO SUSPEND THE RULES AND PASS, AS AMENDED SUDBURY, ASSABET, AND CONCORD WILD AND SCENIC RIVER ACT"
106,House,23,1999-02-24,1,24,415,2,0.0,0.0,0.0,0.0,0.0,HR438,Passed,Wireless Communications and Public Safety Act,On Passage,H R 438 QUESTION: ON PASSAGE WIRELESS COMMUNICATIONS AND PUBLIC SAFETY ACT
106,House,24,1999-02-24,1,25,419,1,0.0,0.0,0.0,0.0,0.0,HR436,Passed,"Government Waste, Fraud and Error Reduction Act",On Passage,"H R 436 QUESTION: ON PASSAGE GOVERNMENT WASTE, FRAUD AND ERROR REDUCTION ACT"
106,House,25,1999-02-24,1,26,426,0,0.0,0.0,0.0,0.0,0.0,HR409,Passed,Federal Financial Assistance Management Improvement Act,On Passage,H R 409 QUESTION: ON PASSAGE FEDERAL FINANCIAL ASSISTANCE MANAGEMENT IMPROVEMENT ACT
106,House,26,1999-02-25,1,27,362,28,-0.628,0.137,-0.182,0.401,-81.454,,Passed,,On Approving the Journal,JOURNAL QUESTION: ON APPROVING THE JOURNAL
106,House,27,1999-02-25,1,28,403,3,0.0,0.0,0.0,0.0,0.0,HR514,Passed,Wireless Privacy Enhancement Act,On Passage,H R 514 QUESTION: ON PASSAGE WIRELESS PRIVACY ENHANCEMENT ACT
106,House,28,1999-03-02,1,29,416,1,0.0,0.0,0.0,0.0,0.0,HJRES32,Passed,Expressing the Sense of the Congress Concerning the Social Security Guarantee Initiative,"Suspend the rules and pass, as amended","H J RES 32 QUESTION: SUSPEND THE RULES AND PASS, AS AMENDED EXPRESSING THE SENSE OF THE CONGRESS CONCERNING THE SOCIAL SECURITY GUARANTEE INITIATIVE"
106,House,29,1999-03-02,1,30,416,0,0.0,0.0,0.0,0.0,0.0,HR609,Passed,To Amend the Export Apple and Pear Act to Limit the Applicability of the Act to Apples,Suspend the rules and pass,H R 609 QUESTION: SUSPEND THE RULES AND PASS TO AMEND THE EXPORT APPLE AND PEAR ACT TO LIMIT THE APPLICABILITY OF THE ACT TO APPLES
106,House,30,1999-03-03,1,31,326,90,0.347,0.404,0.201,0.308,-116.194,HR669,Passed,Peace Corps Authorizations FY2000-FY2003,On Passage,H R 669 QUESTION: ON PASSAGE PEACE CORPS AUTHORIZATIONS FY2000-FY2003
106,House,31,1999-03-03,1,32,413,2,0.0,0.0,0.0,0.0,0.0,HR603,Passed,Clarify the Application of the “Death on the High Seas Act” to Aviation Incidents,On Passage,"H R 603 QUESTION: ON PASSAGE CLARIFY THE APPLICATION OF THE ""DEATH ON THE HIGH SEAS ACT"" TO AVIATION INCIDENTS"
106,House,32,1999-03-04,1,33,415,2,0.0,0.0,0.0,0.0,0.0,HR707,Passed,Disaster Mitigation and Cost Reduction Act,On Passage,H R 707 QUESTION: ON PASSAGE DISASTER MITIGATION AND COST REDUCTION ACT
106,House,33,1999-03-10,1,34,356,39,-0.705,-0.084,-0.18,0.433,-108.991,,Passed,,On Approving the Journal,JOURNAL QUESTION: ON APPROVING THE JOURNAL
106,House,34,1999-03-10,1,35,399,12,0.689,0.724,0.37,0.045,-30.374,HR540,Passed,Nursing Home Resident Protection Amendments,Suspend the Rules and Pass,H R 540 QUESTION: SUSPEND THE RULES AND PASS NURSING HOME RESIDENT PROTECTION AMENDMENTS
106,House,35,1999-03-10,1,36,217,198,-0.016,0.016,-0.738,0.466,-2.418,HRES100,Passed,Providing for consideration of H.R. 800; Education Flexibility Partnership Act,On Ordering the Previous Question,H RES 100 QUESTION: ON ORDERING THE PREVIOUS QUESTION PROVIDING FOR CONSIDERATION OF H.R. 800; EDUCATION FLEXIBILITY PARTNERSHIP ACT
106,House,36,1999-03-10,1,37,204,218,0.063,0.462,0.37,-0.216,-14.726,HR800,Failed,,On Agreeing to the Amendment,H R 800 AUTHOR(S): HOLT OF NEW JERSEY TO EHLERS OF MICHIGAN AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT EDUCATION FLEXIBILITY PARTNERSHIP ACT
106,House,37,1999-03-10,1,38,406,13,0.619,0.663,0.186,0.412,-45.453,HR800,Agreed to,,On Agreeing to the Amendment,H R 800 AUTHOR(S): EHLERS OF MICHIGAN AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT EDUCATION FLEXIBILITY PARTNERSHIP ACT
106,House,38,1999-03-10,1,39,196,228,-0.147,-0.071,0.484,-0.452,-22.287,HR800,Failed,,On Agreeing to the Amendment,H R 800 AUTHOR(S): GEORGE MILLER OF CALIFORNIA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT EDUCATION FLEXIBILITY PARTNERSHIP ACT
106,House,39,1999-03-11,1,40,195,223,-0.049,0.022,0.304,-0.182,-25.514,HR800,Failed,,On Agreeing to the Amendment,H R 800 AUTHOR(S): SCOTT OF VIRGINIA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT EDUCATION FLEXIBILITY PARTNERSHIP ACT
106,House,40,1999-03-11,1,41,330,90,-0.407,0.02,-0.857,0.122,-73.696,HR800,Passed,Education Flexibility Partnership Act,On Passage,H R 800 QUESTION: ON PASSAGE EDUCATION FLEXIBILITY PARTNERSHIP ACT
